id,question_ids,source_type,study_design,title,authors,year,doi,url,local_path,inspection,claim_anchor,finding,implication,limitations,confidence,load_bearing,appraisal_tool,appraisal_status,source_hash,source_provenance,audit_status,reviewer,independent_verification,identity_status,canonical_title,canonical_year,identity_raw_response
E-EXT-007,"['Q2', 'Q3']",primary-study,primary-empirical-uncoded,Help Me Write a Story: Evaluating LLMs' Ability to Generate Writing Feedback,"Rashkin, Clark, Huot, and Lapata",2025,10.18653/v1/2025.acl-long.1254,https://aclanthology.org/2025.acl-long.1254/,,"primary abstract, metadata, and ACL proceedings record",,"The authors introduce a 1,300-story test set with intentionally corrupted writing and evaluate model feedback with automatic and human measures. Models often give specific and mostly accurate comments but fail to identify the most important problem and to choose appropriately between critical and positive feedback.","Humanvoice should rank feedback by issue importance, expose uncertainty, and test whether the writer's next revision addresses the highest-impact defect instead of rewarding fluent commentary.",Not yet independently extracted.,medium-high,True,design must be classified before appraisal,pending,,ACL Anthology landing page and linked PDF; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,unresolved,,,
E-EXT-008,"['Q2', 'Q3']",primary-study,primary-empirical-uncoded,Using Large Language Models to Assess Young Students' Writing Revisions,"Li, Liu, Matsumura, Wang, Litman, and Correnti",2024,,https://aclanthology.org/2024.bea-1.30/,,primary abstract and proceedings metadata,,"GPT-4 showed potential for assessing revision quality when detailed rubrics described common revision patterns, but agreement with human ratings varied across writing-proficiency levels and chain-of-thought prompting did not materially improve the result.",A judge must be calibrated by rubric and proficiency/domain slice; a generic score or longer reasoning trace is not evidence of validity.,Not yet independently extracted.,medium,True,design must be classified before appraisal,pending,,ACL Anthology landing page; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-EXT-009,"['Q2', 'Q3']",primary-study,primary-empirical-uncoded,Assessing Online Writing Feedback Resources: Generative AI vs. Good Samaritans,"Behzad, Kashefi, and Somasundaran",2024,,https://aclanthology.org/2024.lrec-main.144/,,primary abstract and proceedings record,,The study compares ChatGPT feedback with volunteer educator feedback on English-proficiency essays and reports that personalized feedback remains difficult; the authors argue that the two sources can complement one another.,"Humanvoice should present model feedback as a review aid alongside human judgment, with explicit provenance and no substitution claim.",Not yet independently extracted.,medium,False,design must be classified before appraisal,pending,,ACL Anthology landing page and linked PDF; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-EXT-010,"['Q4', 'Q6']",primary-study,primary-empirical-uncoded,How Does the Disclosure of AI Assistance Affect the Perceptions of Writing?,"Li, Liang, Peng, and Yin",2024,10.18653/v1/2024.emnlp-main.279,https://aclanthology.org/2024.emnlp-main.279/,,"primary abstract, metadata, and proceedings record",,"In experiments on argumentative essays and creative stories, disclosure of AI assistance, especially content generation, lowered average quality ratings and increased variation across readers; confidence and prior AI familiarity moderated the effect.",The product needs a disclosure ledger and should measure reader response under the intended disclosure policy rather than assuming that disclosure has no effect on acceptance.,Not yet independently extracted.,medium-high,True,design must be classified before appraisal,pending,,ACL Anthology landing page and linked PDF; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,unresolved,,,
E-EXT-011,"['Q2', 'Q4']",field-experiment,randomized-experiment,Shifting Work Patterns with Generative AI,"Dillon, Jaffe, Immorlica, and Stanton",2025,10.3386/w33795,https://www.nber.org/papers/w33795,,NBER working-paper abstract and methods summary,Abstract and reported design summary; full-text table and outcome anchors remain to be independently extracted.,"A randomized field experiment across 66 firms and 7,137 knowledge workers found that treated users who adopted the tool spent about two fewer hours per week on email, while the study did not detect changes in the quantity or composition of tasks.","Time savings are a plausible secondary benefit, but the product case must not equate saved time with better documents or accepted research.","The reported time-use endpoint is not document quality or reader acceptance, and adoption is an intermediate outcome.",medium-high,True,RoB 2 domains adapted to the reported outcome,pending,,NBER working-paper landing page and linked revision; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,unresolved,,,
E-EXT-012,"['Q2', 'Q4']",field-experiment,primary-empirical-uncoded,Does Writing with Language Models Reduce Content Diversity?,Padmakumar and He,2024,,https://proceedings.iclr.cc/paper_files/paper/2024/hash/02dec8877fb7c6aa9a79f81661baca7c-Abstract-Conference.html,,ICLR proceedings abstract and metadata,,"A controlled experiment comparing unaided writing, GPT-3 assistance, and InstructGPT assistance found a statistically significant reduction in lexical and content diversity with InstructGPT, attributable mainly to model-contributed text.",Cross-document convergence is a product risk and a measured outcome; optimizing one document in isolation is insufficient.,Not yet independently extracted.,high,True,design must be classified before appraisal,pending,,Official ICLR proceedings page; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-EXT-013,"['Q2', 'Q3']",field-experiment,randomized-experiment,Navigating the Jagged Technological Frontier: Field Experimental Evidence of the Effects of Artificial Intelligence on Knowledge Worker Productivity and Quality,"Dell'Acqua, McFowland, Mollick, Lifshitz, Kellogg, Rajendran, Krayer, Candelon, and Lakhani",2026,10.1287/orsc.2025.21838,https://www.hbs.edu/ris/Publication%20Files/dell-acqua-et-al-2026-navigating-the-jagged-technological-frontier_5c589c8c-fbb5-458f-b285-c944746cd717.pdf,,open-access published article abstract and experiment summary,Published abstract and experiment summary; independent outcome-table extraction remains pending.,"In a preregistered field experiment with 758 consultants, GPT-4 improved speed and quality on tasks inside its capability frontier but reduced correctness on tasks outside that frontier despite higher-rated recommendations.",The workflow needs task-boundary checks and factual review; fluent output can conceal a capability mismatch.,Consulting tasks and short-run experimental outcomes do not establish effects on long-form economics manuscripts or reader acceptance.,medium-high,True,RoB 2 domains adapted to the reported outcome,pending,,Open-access Organization Science article PDF hosted by HBS; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,unresolved,,,
E-EXT-014,"['Q1', 'Q3']",primary-study,primary-empirical-uncoded,Do teachers spot AI? Evaluating the detectability of AI-generated texts among student essays,"Fleckenstein, Meyer, Jansen, Keller, Koller, and Moller",2024,10.1016/j.caeai.2024.100209,https://www.sciencedirect.com/science/article/pii/S2666920X24000109,,open-access abstract and study summary,,"Across experiments with novice and experienced teachers, participants generally could not identify ChatGPT essays among student writing and were overconfident in their judgments; source disclosure also affected quality judgments heterogeneously.","Human readers are necessary but not infallible; acceptance studies need blinded, repeated judgments and confidence reporting rather than a single reader label.",Not yet independently extracted.,medium,True,design must be classified before appraisal,pending,,Open-access journal landing page; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,unresolved,,,
E-EXT-015,"['Q1', 'Q3', 'Q6']",primary-study,primary-empirical-uncoded,Evaluation of Large Language Model Performance and Reliability for Citations and References in Scholarly Writing: Cross-Disciplinary Study,"Mugaanyi, Cai, Cheng, Lu, and Huang",2024,10.2196/52935,https://www.jmir.org/2024/1/e52935/,,open-access article abstract and methods/results summary,,"Two researchers prompted GPT-3.5 to write introductions with citations across ten topics. Only 72.7% of generated natural-science citations and 76.6% of humanities citations were confirmed to exist, with substantial DOI errors and disciplinary differences.","Citation resolution and source verification must be deterministic product functions, not optional editing advice.",Not yet independently extracted.,high,True,design must be classified before appraisal,pending,,JMIR open-access article landing page; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,unresolved,,,
E-EXT-016,"['Q3', 'Q6']",primary-study,primary-empirical-uncoded,Is LLM a Reliable Reviewer? A Comprehensive Evaluation of LLM on Automatic Paper Reviewing Tasks,"Zhou, Chen, and Yu",2024,,https://aclanthology.org/2024.lrec-main.816/,,ACL abstract and proceedings metadata,,"The study evaluates GPT-3.5 and GPT-4 on review scoring and generation using a review-revision dataset. Models can make passable single-option decisions, but fully correct answers are rare and critical feedback on long papers remains weak.","Model review is a triage and explanation aid, not a replacement for domain review or a release decision.",Not yet independently extracted.,medium,True,design must be classified before appraisal,pending,,ACL Anthology landing page; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-EXT-017,"['Q2', 'Q3', 'Q6']",systematic-review,systematic-review,"A systematic review of AI-assisted academic writing: Tools, measures, and effects","Meng, Xie, and Lu",2026,10.1016/j.jeap.2026.101726,https://www.sciencedirect.com/science/article/pii/S1475158526000986,,"publisher abstract, method preview, and results summary","Publisher abstract and method preview: Web of Science search through 2025-10-31, 341 records screened, 25 empirical studies synthesized.","Across 25 included empirical studies, effects were more consistently positive for psychological and writing-process outcomes than for textual products. Product gains were clearest for surface accuracy and conventions, while higher-order argumentation and discourse-organization results were mixed.","Humanvoice must separate process, surface, and higher-order outcomes and validate on research manuscripts rather than importing results from course essays.","The review searches one bibliographic platform, the evidence base is dominated by course-based tasks, and general-purpose rubrics limit inference to research-oriented disciplinary writing.",medium-high,True,AMSTAR 2 plus search-reporting check,pending,,Journal of English for Academic Purposes publisher record and article preview; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,unresolved,,,
E-EXT-018,"['Q2', 'Q3', 'Q6']",systematic-review,systematic-review,"Generative artificial intelligence for automated writing evaluation: A systematic review of trends, efficacy, and challenges",Abudalfa and Barrot,2026,10.1016/j.asw.2026.101041,https://www.sciencedirect.com/science/article/pii/S1075293526000292,,"publisher abstract, method preview, and results summary",Publisher abstract and method preview: PRISMA-guided mixed-methods synthesis of 96 empirical works using a CIMO framework.,"The review reports stronger performance for grammar, coherence, and rubric-based tasks than for higher-order argumentation and creativity, with unresolved validity, fairness, equity, and integrity concerns for consequential assessment.","Automated feedback can triage surface issues, but Humanvoice must calibrate higher-order judgments against domain readers and prohibit model-only release decisions.","The primary literature is concentrated in education and higher education; heterogeneity in prompts, tasks, and outcomes limits generalization, and the independent AMSTAR 2 appraisal is pending.",medium-high,True,AMSTAR 2 plus search-reporting check,pending,,Assessing Writing publisher record and article preview; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,unresolved,,,
E-EXT-019,"['Q2', 'Q4', 'Q6']",primary-study,mixed-methods-or-hci-study,Prototypical Human-AI Collaboration Behaviors from LLM-Assisted Writing in the Wild,"Mysore, Das, Cao, and Sarrafzadeh",2025,10.18653/v1/2025.emnlp-main.852,https://aclanthology.org/2025.emnlp-main.852/,,"official proceedings abstract, full metadata, and linked paper summary","ACL Anthology abstract and paper metadata, pages 16819--16846; full-text coding and independent verification remain pending.","Large-scale in-the-wild writing sessions show recurring multi-turn behaviors in which users revise intents, explore text, ask questions, adjust style, or inject content; a small set of interaction patterns explains much of the observed variation.","The product should retain turn-level intent, suggestion, acceptance, edit, and rejection traces instead of evaluating only the final document.","Bing Copilot and WildChat logs are observational, platform-selected traces; inferred collaboration patterns are not causal effects on document quality.",medium-high,True,MMAT design-specific criteria,pending,,Official ACL Anthology proceedings record and linked paper; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,unresolved,,,
E-EXT-020,"['Q2', 'Q4', 'Q6']",field-experiment,nonrandomized-intervention,Generative AI at Work,"Brynjolfsson, Li, and Raymond",2025,10.1093/qje/qjae044,https://academic.oup.com/qje/article/140/2/889/7990658,,"published article abstract, design summary, and data-availability record","Published abstract: staggered deployment to 5,172 support agents; productivity measured as issues resolved per hour.","Access to a conversational assistant increased average issues resolved per hour by 15 percent, with larger speed and quality gains for less experienced workers and small quality declines among the highest-skilled workers.",Pilot results must be reported by baseline skill and task slice; an average productivity effect can conceal losses for expert writers.,"A staggered observational deployment in customer support is not a writing-quality trial; productivity, quality, and skill effects are task- and worker-dependent.",high,True,ROBINS-I domains,pending,,Quarterly Journal of Economics publisher record; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,unresolved,,,
E-EXT-021,"['Q2', 'Q3', 'Q4']",primary-study,mixed-methods-or-hci-study,MindCopilot: Towards Formalizing and Evaluating Granular Human-LLM Co-Writing,"Fang, Tang, Sun, Liu, Wang, Zhao, Liu, Zhang, Liu, Zhang, and Chen",2026,,https://arxiv.org/abs/2605.23535,,arXiv abstract and metadata; accepted-paper claim not independently checked in proceedings,"arXiv abstract: 1,688 controlled continuation queries across 16 domains and a follow-up study with 30 participants.",The paper proposes interaction-aware measures of hierarchical suggestion acceptance and knowledge-aware editing distance and reports that they expose behavior and editing cost that output-only metrics miss.,"Acceptance and editing-cost measures are candidates for the pilot telemetry schema, but they must remain exploratory until independently reproduced and validated against reader outcomes.","This is a recent preprint record, simulation dominates the evidence, the user study is small, and the proposed metrics lack external validation for economics manuscripts.",low-medium,False,MMAT design-specific criteria,pending,,arXiv record v1; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-METHOD-004,"['Q5', 'Q6']",governance-framework,not-applicable,Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile,National Institute of Standards and Technology,2024,,https://www.nist.gov/itl/ai-risk-management-framework,,official NIST profile page and PDF summary,,"NIST's Generative AI Profile extends the AI RMF with risks and actions across the generative-AI lifecycle, including validity, reliability, privacy, transparency, and accountability concerns.","Humanvoice needs named risk owners, model/provider records, data-retention controls, incident handling, and periodic reassessment rather than a one-time tool approval.",,high,True,not-applicable,not-applicable,,Official NIST AI RMF and NIST AI 600-1 pages; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-METHOD-005,['Q6'],reporting-guideline,not-applicable,PRISMA 2020 statement and checklist,PRISMA Executive,2020,,https://www.prisma-statement.org/prisma-2020,,official PRISMA statement and checklist pages,,"PRISMA 2020 specifies reporting items for the rationale, methods, study selection, characteristics, risk of bias, synthesis, and limitations of systematic reviews, with flow-diagram templates.","The audit should report selection counts, exclusions, study characteristics, bias judgments, and limitations rather than only exposing a search API log.",,high,True,not-applicable,not-applicable,,Official PRISMA statement site; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-METHOD-006,"['Q4', 'Q5', 'Q6']",publication-policy,not-applicable,Use of Artificial Intelligence by Authors,International Committee of Medical Journal Editors,2026,,https://www.icmje.org/recommendations/browse/artificial-intelligence/ai-use-by-authors.html,,official policy page,,"ICMJE states that AI tools should not be listed as authors, that humans remain responsible for accuracy, integrity, originality, citations, and plagiarism checks, and that AI use should be disclosed.",The product must preserve an auditable human responsibility and disclosure record and must not market detector scores as authorship judgments.,,high,True,not-applicable,not-applicable,,Official ICMJE recommendations page; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-SW-003,['Q5'],software-documentation,not-applicable,Vale markup-aware linting,Vale maintainers,2026,,https://vale.sh/features/markup,,official feature documentation,,"Vale parses markup-aware source formats and can exclude code, URLs, and syntax while applying reusable prose rules.","A LaTeX-aware diagnostic layer should preserve protected regions and benchmark false positives on equations, citations, tables, and commands.",,high,True,not-applicable,not-applicable,,Official Vale feature page; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-SW-004,['Q5'],software-documentation,not-applicable,LanguageTool developer documentation,LanguageTool maintainers,2026,,https://languagetool.org/dev,,official open-source project documentation,,LanguageTool exposes an extensible open-source grammar and style engine with rule-development documentation and integrations.,"It is a candidate for deterministic grammar diagnostics, but its rule behavior and privacy mode must be measured on the project's LaTeX and economics corpus.",,high,False,not-applicable,not-applicable,,Official LanguageTool developer page; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-SW-005,['Q5'],software-documentation,not-applicable,LaTeX Lint,Hiroki Hamaguchi,2026,,https://github.com/HirokiHamaguchi/latexlint,,official repository README,,LaTeX Lint targets common LaTeX and academic-writing issues and can detect nonstandard mathematical notation and text patterns in TeX and Markdown.,The project should benchmark format-aware academic linting as a separate adapter rather than assuming a plain-text linter understands source structure.,,medium,False,not-applicable,not-applicable,,Public GitHub repository; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-SW-006,"['Q5', 'Q6']",software-documentation,not-applicable,Pandoc filters and document AST,Pandoc maintainers,2026,,https://pandoc.org/filters.html,,official filter and AST documentation,,"Pandoc exposes a typed document abstract syntax tree to filters, allowing transformations over structural elements rather than unstructured source strings.","Pandoc is a parser candidate for Markdown and supported interchange formats, but preservation of project-specific LaTeX commands must be benchmarked before it becomes the protected-source layer.",,high,True,not-applicable,not-applicable,,Official Pandoc documentation; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-SW-007,"['Q5', 'Q6']",software-documentation,not-applicable,pylatexenc LaTeX walker and node model,pylatexenc maintainers,2026,,https://pylatexenc.readthedocs.io/en/latest/,,official API documentation,,"pylatexenc provides Python APIs for parsing LaTeX into nodes and for text conversion, including customizable macro and environment handling.","It is a practical native-Python parser candidate for protected-region extraction, to be compared with Pandoc on unknown macros, math, citations, comments, and round-trip invariants.",,high,True,not-applicable,not-applicable,,Official pylatexenc documentation; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-SW-008,['Q5'],software-documentation,not-applicable,latexdiff markup-aware visual document comparison,latexdiff maintainers,2026,,https://www.ctan.org/pkg/latexdiff,,official CTAN package record and documentation summary,,latexdiff marks textual additions and deletions in two LaTeX sources and can generate a typeset visual comparison.,"It can supplement review packets, but Humanvoice still needs its own machine-enforced equation, citation, number, label, and claim invariants.",,high,False,not-applicable,not-applicable,,Official CTAN package record; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-SW-009,['Q5'],software-documentation,not-applicable,GROBID documentation,GROBID maintainers,2026,,https://grobid.readthedocs.io/en/latest/Introduction/,,official documentation introduction,,GROBID extracts structured bibliographic and full-text information from scholarly PDFs and exposes service interfaces for document processing.,It is a survey-only option when the input is PDF or an unstructured reference list; DOI resolution and source-claim verification remain separate functions.,,high,False,not-applicable,not-applicable,,Official GROBID documentation; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-SW-010,"['Q3', 'Q5']",software-documentation,not-applicable,textstat readability formulas,textstat maintainers,2026,,https://github.com/textstat/textstat,,official repository documentation,,"textstat implements established formula-based readability, reading-time, syllable, sentence, and lexical statistics behind a Python API.","It can provide descriptive features and regression checks, but formula outputs must not be promoted to writing-quality or acceptance scores.",,high,False,not-applicable,not-applicable,,Official project repository; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-SW-011,"['Q3', 'Q5', 'Q6']",software-documentation,not-applicable,Inspect AI evaluation framework,UK AI Security Institute,2026,,https://inspect.aisi.org.uk/,,official framework documentation,,"Inspect AI provides structured datasets, solvers, scorers, logs, and model-provider interfaces for reproducible model evaluations.","It is a survey-only harness candidate for optional model-judge experiments; the core document pipeline should not depend on it, and writing-specific human labels remain the reference standard.",,high,False,not-applicable,not-applicable,,Official UK AI Security Institute documentation; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-SW-012,"['Q5', 'Q6']",software-documentation,not-applicable,llama.cpp local inference runtime,llama.cpp maintainers,2026,,https://github.com/ggml-org/llama.cpp,,official repository documentation,,llama.cpp supports local inference for multiple model families and hardware targets through a portable runtime and server interface.,"It makes a private execution mode technically possible, but model weights, task quality, security, licensing, and hardware performance require separate evaluation.",,high,False,not-applicable,not-applicable,,Official project repository; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-SW-013,"['Q5', 'Q6']",software-documentation,not-applicable,LTeX+ Language Server,LTeX+ maintainers,2026,,https://github.com/ltex-plus/ltex-ls-plus,,"official successor repository, documentation, and release record",,"LTeX+ LS is the maintained successor to the archived LTeX LS repository. It provides offline LanguageTool-backed diagnostics for LaTeX, Markdown, BibTeX, and other markup through LSP and command-line interfaces.","Benchmark the maintained LTeX+ successor, not the archived ltex-ls repository, for local line-mapped grammar diagnostics and protected-region behavior.",,high,True,not-applicable,not-applicable,,Official ltex-plus organization and ltex-ls-plus repository; archival status of valentjn/ltex-ls checked on GitHub during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
