evidence_id,expected_doi,expected_title,expected_year,canonical_doi,canonical_title,canonical_year,title_similarity,status,raw_response,raw_sha256,error
E-EXT-007,10.18653/v1/2025.acl-long.1254,Help Me Write a Story: Evaluating LLMs' Ability to Generate Writing Feedback,2025,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.18653%2Fv1%2F2025.acl-long.1254 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))"
E-EXT-008,,Using Large Language Models to Assess Young Students' Writing Revisions,2024,,,,,not-applicable-no-doi,,,
E-EXT-009,,Assessing Online Writing Feedback Resources: Generative AI vs. Good Samaritans,2024,,,,,not-applicable-no-doi,,,
E-EXT-010,10.18653/v1/2024.emnlp-main.279,How Does the Disclosure of AI Assistance Affect the Perceptions of Writing?,2024,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.18653%2Fv1%2F2024.emnlp-main.279 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))"
E-EXT-011,10.3386/w33795,Shifting Work Patterns with Generative AI,2025,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.3386%2Fw33795 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))"
E-EXT-012,,Does Writing with Language Models Reduce Content Diversity?,2024,,,,,not-applicable-no-doi,,,
E-EXT-013,10.1287/orsc.2025.21838,Navigating the Jagged Technological Frontier: Field Experimental Evidence of the Effects of Artificial Intelligence on Knowledge Worker Productivity and Quality,2026,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1287%2Forsc.2025.21838 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))"
E-EXT-014,10.1016/j.caeai.2024.100209,Do teachers spot AI? Evaluating the detectability of AI-generated texts among student essays,2024,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1016%2Fj.caeai.2024.100209 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))"
E-EXT-015,10.2196/52935,Evaluation of Large Language Model Performance and Reliability for Citations and References in Scholarly Writing: Cross-Disciplinary Study,2024,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.2196%2F52935 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))"
E-EXT-016,,Is LLM a Reliable Reviewer? A Comprehensive Evaluation of LLM on Automatic Paper Reviewing Tasks,2024,,,,,not-applicable-no-doi,,,
E-EXT-017,10.1016/j.jeap.2026.101726,"A systematic review of AI-assisted academic writing: Tools, measures, and effects",2026,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1016%2Fj.jeap.2026.101726 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))"
E-EXT-018,10.1016/j.asw.2026.101041,"Generative artificial intelligence for automated writing evaluation: A systematic review of trends, efficacy, and challenges",2026,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1016%2Fj.asw.2026.101041 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))"
E-EXT-019,10.18653/v1/2025.emnlp-main.852,Prototypical Human-AI Collaboration Behaviors from LLM-Assisted Writing in the Wild,2025,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.18653%2Fv1%2F2025.emnlp-main.852 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))"
E-EXT-020,10.1093/qje/qjae044,Generative AI at Work,2025,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1093%2Fqje%2Fqjae044 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))"
E-EXT-021,,MindCopilot: Towards Formalizing and Evaluating Granular Human-LLM Co-Writing,2026,,,,,not-applicable-no-doi,,,
E-METHOD-004,,Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile,2024,,,,,not-applicable-no-doi,,,
E-METHOD-005,,PRISMA 2020 statement and checklist,2020,,,,,not-applicable-no-doi,,,
E-METHOD-006,,Use of Artificial Intelligence by Authors,2026,,,,,not-applicable-no-doi,,,
E-SW-003,,Vale markup-aware linting,2026,,,,,not-applicable-no-doi,,,
E-SW-004,,LanguageTool developer documentation,2026,,,,,not-applicable-no-doi,,,
E-SW-005,,LaTeX Lint,2026,,,,,not-applicable-no-doi,,,
E-SW-006,,Pandoc filters and document AST,2026,,,,,not-applicable-no-doi,,,
E-SW-007,,pylatexenc LaTeX walker and node model,2026,,,,,not-applicable-no-doi,,,
E-SW-008,,latexdiff markup-aware visual document comparison,2026,,,,,not-applicable-no-doi,,,
E-SW-009,,GROBID documentation,2026,,,,,not-applicable-no-doi,,,
E-SW-010,,textstat readability formulas,2026,,,,,not-applicable-no-doi,,,
E-SW-011,,Inspect AI evaluation framework,2026,,,,,not-applicable-no-doi,,,
E-SW-012,,llama.cpp local inference runtime,2026,,,,,not-applicable-no-doi,,,
E-SW-013,,LTeX+ Language Server,2026,,,,,not-applicable-no-doi,,,
E-SW-014,,plasTeX document processing framework,2026,,,,,not-applicable-no-doi,,,
E-SW-015,,tree-sitter-latex grammar,2026,,,,,not-applicable-no-doi,,,
E-SW-016,,LaTeXML manual,2026,,,,,not-applicable-no-doi,,,
E-METHOD-007,,ACL Anthology filtered public bibliography export,2026,,,,,not-applicable-no-doi,,,
E-METHOD-008,,NBER generative AI workplace search export,2026,,,,,not-applicable-no-doi,,,
E-METHOD-009,,ICLR Proceedings writing/language-model search export,2026,,,,,not-applicable-no-doi,,,
