evidence_id,expected_doi,expected_title,expected_year,canonical_doi,canonical_title,canonical_year,title_similarity,status,raw_response,raw_sha256,error
E-EXT-009,,Assessing Online Writing Feedback Resources: Generative AI vs. Good Samaritans,2024,,,,,not-applicable-no-doi,,,
E-EXT-010,10.18653/v1/2024.emnlp-main.279,How Does the Disclosure of AI Assistance Affect the Perceptions of Writing?,2024,10.18653/v1/2024.emnlp-main.279,How Does the Disclosure of AI Assistance Affect the Perceptions of Writing?,2024,1.0,verified,raw/evidence-doi-017-e-ext-010.json,17c1d79da88a27c4f0365c817d680646ebbb13aadc3a5729a4e2c11fb8c19c3b,
E-EXT-011,10.3386/w33795,Shifting Work Patterns with Generative AI,2025,10.3386/w33795,Shifting Work Patterns with Generative AI,2025,1.0,verified,raw/evidence-doi-018-e-ext-011.json,c186674ec9a7194936bc6e389068903f163b3ad08a8fc1909203d16d9c45a554,
E-EXT-012,,Does Writing with Language Models Reduce Content Diversity?,2024,,,,,not-applicable-no-doi,,,
E-EXT-013,10.1287/orsc.2025.21838,Navigating the Jagged Technological Frontier: Field Experimental Evidence of the Effects of Artificial Intelligence on Knowledge Worker Productivity and Quality,2026,10.1287/orsc.2025.21838,Navigating the Jagged Technological Frontier: Field Experimental Evidence of the Effects of Artificial Intelligence on Knowledge Worker Productivity and Quality,2026,1.0,verified,raw/evidence-doi-020-e-ext-013.json,d7cb29264cc56a3f12886bbd12e7daca83b7108e5ef8a367de71d25f233a3cd2,
E-EXT-014,10.1016/j.caeai.2024.100209,Do teachers spot AI? Evaluating the detectability of AI-generated texts among student essays,2024,10.1016/j.caeai.2024.100209,Do teachers spot AI? Evaluating the detectability of AI-generated texts among student essays,2024,1.0,verified,raw/evidence-doi-021-e-ext-014.json,4e5bfa802e48b8e290de2c3bdc5be1cfa1e7dca6fa4d5c56a77986e477d9cab2,
E-EXT-015,10.2196/52935,Evaluation of Large Language Model Performance and Reliability for Citations and References in Scholarly Writing: Cross-Disciplinary Study,2024,10.2196/52935,Evaluation of Large Language Model Performance and Reliability for Citations and References in Scholarly Writing: Cross-Disciplinary Study,2024,1.0,verified,raw/evidence-doi-022-e-ext-015.json,5e707ac4da5c8b02ce0067e2d06bb3d7bfe201b2f681f3064b4573963ec30c5f,
E-EXT-016,,Is LLM a Reliable Reviewer? A Comprehensive Evaluation of LLM on Automatic Paper Reviewing Tasks,2024,,,,,not-applicable-no-doi,,,
E-EXT-017,10.1016/j.jeap.2026.101726,"A systematic review of AI-assisted academic writing: Tools, measures, and effects",2026,10.1016/j.jeap.2026.101726,"A systematic review of AI-assisted academic writing: Tools, measures, and effects",2026,1.0,verified,raw/evidence-doi-024-e-ext-017.json,71e879332edacdd003912a47291b69bee53a94282f51079f7f6c8e0ce0f0e6a6,
E-EXT-018,10.1016/j.asw.2026.101041,"Generative artificial intelligence for automated writing evaluation: A systematic review of trends, efficacy, and challenges",2026,10.1016/j.asw.2026.101041,"Generative artificial intelligence for automated writing evaluation: A systematic review of trends, efficacy, and challenges",2026,1.0,verified,raw/evidence-doi-025-e-ext-018.json,e15fe134c9a3206adc023fa29f883f88e7a6458a2592b9530ff5cce06fb1ecb4,
E-EXT-019,10.18653/v1/2025.emnlp-main.852,Prototypical Human-AI Collaboration Behaviors from LLM-Assisted Writing in the Wild,2025,10.18653/v1/2025.emnlp-main.852,Prototypical Human-AI Collaboration Behaviors from LLM-Assisted Writing in the Wild,2025,1.0,verified,raw/evidence-doi-026-e-ext-019.json,dfc830fbfbd85b1e08eeff359bb7987e1be4574c0e467f7bd46660fd26fe8be8,
E-EXT-020,10.1093/qje/qjae044,Generative AI at Work,2025,10.1093/qje/qjae044,Generative AI at Work,2025,1.0,verified,raw/evidence-doi-027-e-ext-020.json,68a647f4d08a9fd0068d5d2d2247086614458a1227e93f01e35b8aade8533dc0,
E-EXT-021,,MindCopilot: Towards Formalizing and Evaluating Granular Human-LLM Co-Writing,2026,,,,,not-applicable-no-doi,,,
E-METHOD-004,,Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile,2024,,,,,not-applicable-no-doi,,,
E-METHOD-005,,PRISMA 2020 statement and checklist,2020,,,,,not-applicable-no-doi,,,
E-METHOD-006,,Use of Artificial Intelligence by Authors,2026,,,,,not-applicable-no-doi,,,
E-SW-003,,Vale markup-aware linting,2026,,,,,not-applicable-no-doi,,,
E-SW-004,,LanguageTool developer documentation,2026,,,,,not-applicable-no-doi,,,
E-SW-005,,LaTeX Lint,2026,,,,,not-applicable-no-doi,,,
E-SW-006,,Pandoc filters and document AST,2026,,,,,not-applicable-no-doi,,,
E-SW-007,,pylatexenc LaTeX walker and node model,2026,,,,,not-applicable-no-doi,,,
E-SW-008,,latexdiff markup-aware visual document comparison,2026,,,,,not-applicable-no-doi,,,
E-SW-009,,GROBID documentation,2026,,,,,not-applicable-no-doi,,,
E-SW-010,,textstat readability formulas,2026,,,,,not-applicable-no-doi,,,
E-SW-011,,Inspect AI evaluation framework,2026,,,,,not-applicable-no-doi,,,
E-SW-012,,llama.cpp local inference runtime,2026,,,,,not-applicable-no-doi,,,
E-SW-013,,LTeX+ Language Server,2026,,,,,not-applicable-no-doi,,,
E-SW-014,,plasTeX document processing framework,2026,,,,,not-applicable-no-doi,,,
E-SW-015,,tree-sitter-latex grammar,2026,,,,,not-applicable-no-doi,,,
E-SW-016,,LaTeXML manual,2026,,,,,not-applicable-no-doi,,,
E-METHOD-007,,ACL Anthology filtered public bibliography export,2026,,,,,not-applicable-no-doi,,,
E-METHOD-008,,NBER generative AI workplace search export,2026,,,,,not-applicable-no-doi,,,
E-METHOD-009,,ICLR Proceedings writing/language-model search export,2026,,,,,not-applicable-no-doi,,,
