id,question_ids,source_type,study_design,title,authors,year,doi,url,local_path,inspection,claim_anchor,finding,implication,limitations,confidence,load_bearing,appraisal_tool,appraisal_status,source_hash,source_provenance,audit_status,reviewer,independent_verification,identity_status,canonical_title,canonical_year,identity_raw_response
E-EXT-014,"['Q1', 'Q3']",primary-study,primary-empirical-uncoded,Do teachers spot AI? Evaluating the detectability of AI-generated texts among student essays,"Fleckenstein, Meyer, Jansen, Keller, Koller, and Moller",2024,10.1016/j.caeai.2024.100209,https://www.sciencedirect.com/science/article/pii/S2666920X24000109,,open-access abstract and study summary,,"Across experiments with novice and experienced teachers, participants generally could not identify ChatGPT essays among student writing and were overconfident in their judgments; source disclosure also affected quality judgments heterogeneously.","Human readers are necessary but not infallible; acceptance studies need blinded, repeated judgments and confidence reporting rather than a single reader label.",Not yet independently extracted.,medium,True,design must be classified before appraisal,pending,,Open-access journal landing page; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,verified,Do teachers spot AI? Evaluating the detectability of AI-generated texts among student essays,2024,raw/evidence-doi-021-e-ext-014.json
E-EXT-015,"['Q1', 'Q3', 'Q6']",primary-study,primary-empirical-uncoded,Evaluation of Large Language Model Performance and Reliability for Citations and References in Scholarly Writing: Cross-Disciplinary Study,"Mugaanyi, Cai, Cheng, Lu, and Huang",2024,10.2196/52935,https://www.jmir.org/2024/1/e52935/,,open-access article abstract and methods/results summary,,"Two researchers prompted GPT-3.5 to write introductions with citations across ten topics. Only 72.7% of generated natural-science citations and 76.6% of humanities citations were confirmed to exist, with substantial DOI errors and disciplinary differences.","Citation resolution and source verification must be deterministic product functions, not optional editing advice.",Not yet independently extracted.,high,True,design must be classified before appraisal,pending,,JMIR open-access article landing page; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,verified,Evaluation of Large Language Model Performance and Reliability for Citations and References in Scholarly Writing: Cross-Disciplinary Study,2024,raw/evidence-doi-022-e-ext-015.json
E-EXT-016,"['Q3', 'Q6']",primary-study,primary-empirical-uncoded,Is LLM a Reliable Reviewer? A Comprehensive Evaluation of LLM on Automatic Paper Reviewing Tasks,"Zhou, Chen, and Yu",2024,,https://aclanthology.org/2024.lrec-main.816/,,ACL abstract and proceedings metadata,,"The study evaluates GPT-3.5 and GPT-4 on review scoring and generation using a review-revision dataset. Models can make passable single-option decisions, but fully correct answers are rare and critical feedback on long papers remains weak.","Model review is a triage and explanation aid, not a replacement for domain review or a release decision.",Not yet independently extracted.,medium,True,design must be classified before appraisal,pending,,ACL Anthology landing page; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,not-applicable-no-doi,,,
E-EXT-017,"['Q2', 'Q3', 'Q6']",systematic-review,systematic-review,"A systematic review of AI-assisted academic writing: Tools, measures, and effects","Meng, Xie, and Lu",2026,10.1016/j.jeap.2026.101726,https://www.sciencedirect.com/science/article/pii/S1475158526000986,,"publisher abstract, method preview, and results summary","Publisher abstract and method preview: Web of Science search through 2025-10-31, 341 records screened, 25 empirical studies synthesized.","Across 25 included empirical studies, effects were more consistently positive for psychological and writing-process outcomes than for textual products. Product gains were clearest for surface accuracy and conventions, while higher-order argumentation and discourse-organization results were mixed.","Humanvoice must separate process, surface, and higher-order outcomes and validate on research manuscripts rather than importing results from course essays.","The review searches one bibliographic platform, the evidence base is dominated by course-based tasks, and general-purpose rubrics limit inference to research-oriented disciplinary writing.",medium-high,True,AMSTAR 2 plus search-reporting check,pending,,Journal of English for Academic Purposes publisher record and article preview; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,verified,"A systematic review of AI-assisted academic writing: Tools, measures, and effects",2026,raw/evidence-doi-024-e-ext-017.json
E-EXT-018,"['Q2', 'Q3', 'Q6']",systematic-review,systematic-review,"Generative artificial intelligence for automated writing evaluation: A systematic review of trends, efficacy, and challenges",Abudalfa and Barrot,2026,10.1016/j.asw.2026.101041,https://www.sciencedirect.com/science/article/pii/S1075293526000292,,"publisher abstract, method preview, and results summary",Publisher abstract and method preview: PRISMA-guided mixed-methods synthesis of 96 empirical works using a CIMO framework.,"The review reports stronger performance for grammar, coherence, and rubric-based tasks than for higher-order argumentation and creativity, with unresolved validity, fairness, equity, and integrity concerns for consequential assessment.","Automated feedback can triage surface issues, but Humanvoice must calibrate higher-order judgments against domain readers and prohibit model-only release decisions.","The primary literature is concentrated in education and higher education; heterogeneity in prompts, tasks, and outcomes limits generalization, and the independent AMSTAR 2 appraisal is pending.",medium-high,True,AMSTAR 2 plus search-reporting check,pending,,Assessing Writing publisher record and article preview; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,verified,"Generative artificial intelligence for automated writing evaluation: A systematic review of trends, efficacy, and challenges",2026,raw/evidence-doi-025-e-ext-018.json
E-EXT-019,"['Q2', 'Q4', 'Q6']",primary-study,mixed-methods-or-hci-study,Prototypical Human-AI Collaboration Behaviors from LLM-Assisted Writing in the Wild,"Mysore, Das, Cao, and Sarrafzadeh",2025,10.18653/v1/2025.emnlp-main.852,https://aclanthology.org/2025.emnlp-main.852/,,"official proceedings abstract, full metadata, and linked paper summary","ACL Anthology abstract and paper metadata, pages 16819--16846; full-text coding and independent verification remain pending.","Large-scale in-the-wild writing sessions show recurring multi-turn behaviors in which users revise intents, explore text, ask questions, adjust style, or inject content; a small set of interaction patterns explains much of the observed variation.","The product should retain turn-level intent, suggestion, acceptance, edit, and rejection traces instead of evaluating only the final document.","Bing Copilot and WildChat logs are observational, platform-selected traces; inferred collaboration patterns are not causal effects on document quality.",medium-high,True,MMAT design-specific criteria,pending,,Official ACL Anthology proceedings record and linked paper; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,verified,Prototypical Human-AI Collaboration Behaviors from LLM-Assisted Writing in the Wild,2025,raw/evidence-doi-026-e-ext-019.json
E-EXT-020,"['Q2', 'Q4', 'Q6']",field-experiment,nonrandomized-intervention,Generative AI at Work,"Brynjolfsson, Li, and Raymond",2025,10.1093/qje/qjae044,https://academic.oup.com/qje/article/140/2/889/7990658,,"published article abstract, design summary, and data-availability record","Published abstract: staggered deployment to 5,172 support agents; productivity measured as issues resolved per hour.","Access to a conversational assistant increased average issues resolved per hour by 15 percent, with larger speed and quality gains for less experienced workers and small quality declines among the highest-skilled workers.",Pilot results must be reported by baseline skill and task slice; an average productivity effect can conceal losses for expert writers.,"A staggered observational deployment in customer support is not a writing-quality trial; productivity, quality, and skill effects are task- and worker-dependent.",high,True,ROBINS-I domains,pending,,Quarterly Journal of Economics publisher record; retrieved during the 2026-08-22 external search pass,provisional-seed,,pending,verified,Generative AI at Work,2025,raw/evidence-doi-027-e-ext-020.json
E-EXT-023,"['Q2', 'Q3']",primary-study,primary-empirical-uncoded,Consequences of Erudite Vernacular Utilized Irrespective of Necessity: Problems with Using Long Words Needlessly,Oppenheimer,2006,10.1002/acp.1178,https://doi.org/10.1002/acp.1178,,publisher abstract and bibliographic record,,The studies test whether needless lexical complexity changes judgments of an author and report no intelligence benefit from unnecessary complexity.,Treat lexical complexity as a cost that must serve domain meaning; do not use a simple-word ratio as a quality score.,"Judged intelligence under experimental manipulations is adjacent to, not a direct measure of, expert comprehension or proposal acceptance.",medium,True,design must be classified before appraisal,pending,,Wiley publisher record and DOI metadata; checked on 2026-08-25,provisional-seed,,pending,verified,Consequences of erudite vernacular utilized irrespective of necessity: problems with using long words needlessly,2006,raw/evidence-doi-030-e-ext-023.json
E-EXT-024,"['Q1', 'Q3', 'Q4']",primary-study,measurement-study,A Watermark for Large Language Models,"Kirchenbauer, Geiping, Wen, Katz, Miers, and Goldstein",2023,,https://proceedings.mlr.press/v202/kirchenbauer23a.html,,"official PMLR abstract, metadata, and linked paper",,The work embeds a statistical signal during generation by a cooperating language model and evaluates detection under its stated threat model.,Keep generation-time provenance and watermark verification separate from post-hoc style detection and from reader-quality judgments.,The mechanism requires control of generation and does not identify arbitrary text from uncooperating models; robustness depends on the editing threat model.,medium-high,True,"construct validity, reliability, reference standard, and external validation checklist",pending,,Official PMLR proceedings page and linked paper; checked on 2026-08-25,provisional-seed,,pending,not-applicable-no-doi,,,
E-EXT-025,"['Q1', 'Q3', 'Q4']",primary-study,measurement-study,Can AI-Generated Text Be Reliably Detected?,"Sadasivan, Kumar, Balasubramanian, Wang, and Feizi",2024,,https://arxiv.org/abs/2303.11156,,"primary arXiv abstract, metadata, and linked TMLR record",,The paper studies theoretical and empirical limits of generated-text detectors and shows how paraphrasing and distributional overlap can erode post-hoc detectability.,Exclude general single-document authorship verdicts from the product and evaluate any provenance mechanism under an explicit threat model.,The result does not imply that every detector fails in every closed benchmark or that generation-time provenance is impossible.,medium-high,True,"construct validity, reliability, reference standard, and external validation checklist",pending,,Primary arXiv and TMLR records; checked on 2026-08-25,provisional-seed,,pending,not-applicable-no-doi,,,
