evidence_id,expected_doi,expected_title,expected_year,canonical_doi,canonical_title,canonical_year,title_similarity,status,raw_response,raw_sha256,error
E-EXT-009,,Assessing Online Writing Feedback Resources: Generative AI vs. Good Samaritans,2024,,,,,not-applicable-no-doi,,,
E-EXT-010,10.18653/v1/2024.emnlp-main.279,How Does the Disclosure of AI Assistance Affect the Perceptions of Writing?,2024,10.18653/v1/2024.emnlp-main.279,How Does the Disclosure of AI Assistance Affect the Perceptions of Writing?,2024,1.0,verified,raw/evidence-doi-017-e-ext-010.json,17c1d79da88a27c4f0365c817d680646ebbb13aadc3a5729a4e2c11fb8c19c3b,
E-EXT-011,10.3386/w33795,Shifting Work Patterns with Generative AI,2025,10.3386/w33795,Shifting Work Patterns with Generative AI,2025,1.0,verified,raw/evidence-doi-018-e-ext-011.json,86649329c3315893d6931813c0770b24918263ed5a412dc0e74a72180a233b18,
E-EXT-012,,Does Writing with Language Models Reduce Content Diversity?,2024,,,,,not-applicable-no-doi,,,
E-EXT-013,10.1287/orsc.2025.21838,Navigating the Jagged Technological Frontier: Field Experimental Evidence of the Effects of Artificial Intelligence on Knowledge Worker Productivity and Quality,2026,10.1287/orsc.2025.21838,Navigating the Jagged Technological Frontier: Field Experimental Evidence of the Effects of Artificial Intelligence on Knowledge Worker Productivity and Quality,2026,1.0,verified,raw/evidence-doi-020-e-ext-013.json,db59d628e907d71ea0c66c67383ded3bf31e7e8cff9420ba7e0e121b2a44d5aa,
E-EXT-014,10.1016/j.caeai.2024.100209,Do teachers spot AI? Evaluating the detectability of AI-generated texts among student essays,2024,10.1016/j.caeai.2024.100209,Do teachers spot AI? Evaluating the detectability of AI-generated texts among student essays,2024,1.0,verified,raw/evidence-doi-021-e-ext-014.json,e33b53cef8646f40153a6b5ab75d890ee1763903345be038ca1ecf44b7fbeb4a,
E-EXT-015,10.2196/52935,Evaluation of Large Language Model Performance and Reliability for Citations and References in Scholarly Writing: Cross-Disciplinary Study,2024,10.2196/52935,Evaluation of Large Language Model Performance and Reliability for Citations and References in Scholarly Writing: Cross-Disciplinary Study,2024,1.0,verified,raw/evidence-doi-022-e-ext-015.json,f6b91984fc35906a3035f692002b75b87954d1210eefa7d0b64ef49f8ace532e,
E-EXT-016,,Is LLM a Reliable Reviewer? A Comprehensive Evaluation of LLM on Automatic Paper Reviewing Tasks,2024,,,,,not-applicable-no-doi,,,
E-EXT-017,10.1016/j.jeap.2026.101726,"A systematic review of AI-assisted academic writing: Tools, measures, and effects",2026,10.1016/j.jeap.2026.101726,"A systematic review of AI-assisted academic writing: Tools, measures, and effects",2026,1.0,verified,raw/evidence-doi-024-e-ext-017.json,71e879332edacdd003912a47291b69bee53a94282f51079f7f6c8e0ce0f0e6a6,
E-EXT-018,10.1016/j.asw.2026.101041,"Generative artificial intelligence for automated writing evaluation: A systematic review of trends, efficacy, and challenges",2026,10.1016/j.asw.2026.101041,"Generative artificial intelligence for automated writing evaluation: A systematic review of trends, efficacy, and challenges",2026,1.0,verified,raw/evidence-doi-025-e-ext-018.json,e15fe134c9a3206adc023fa29f883f88e7a6458a2592b9530ff5cce06fb1ecb4,
E-EXT-019,10.18653/v1/2025.emnlp-main.852,Prototypical Human-AI Collaboration Behaviors from LLM-Assisted Writing in the Wild,2025,10.18653/v1/2025.emnlp-main.852,Prototypical Human-AI Collaboration Behaviors from LLM-Assisted Writing in the Wild,2025,1.0,verified,raw/evidence-doi-026-e-ext-019.json,dfc830fbfbd85b1e08eeff359bb7987e1be4574c0e467f7bd46660fd26fe8be8,
E-EXT-020,10.1093/qje/qjae044,Generative AI at Work,2025,10.1093/qje/qjae044,Generative AI at Work,2025,1.0,verified,raw/evidence-doi-027-e-ext-020.json,81bf9c3ccd8acc8551d889098dbc49e35990f090325b9cb578d0debf9a22a432,
E-EXT-021,,MindCopilot: Towards Formalizing and Evaluating Granular Human-LLM Co-Writing,2026,,,,,not-applicable-no-doi,,,
E-EXT-022,,The Science of Scientific Writing,1990,,,,,not-applicable-no-doi,,,
E-EXT-023,10.1002/acp.1178,Consequences of Erudite Vernacular Utilized Irrespective of Necessity: Problems with Using Long Words Needlessly,2006,10.1002/acp.1178,Consequences of erudite vernacular utilized irrespective of necessity: problems with using long words needlessly,2006,1.0,verified,raw/evidence-doi-030-e-ext-023.json,8dc34ade617c00020f128f96206ddea5ee0f729bf4322f75c11fecd1303b4047,
E-EXT-024,,A Watermark for Large Language Models,2023,,,,,not-applicable-no-doi,,,
E-EXT-025,,Can AI-Generated Text Be Reliably Detected?,2024,,,,,not-applicable-no-doi,,,
E-METHOD-004,,Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile,2024,,,,,not-applicable-no-doi,,,
E-METHOD-005,,PRISMA 2020 statement and checklist,2020,,,,,not-applicable-no-doi,,,
E-METHOD-006,,Use of Artificial Intelligence by Authors,2026,,,,,not-applicable-no-doi,,,
E-SW-003,,Vale markup-aware linting,2026,,,,,not-applicable-no-doi,,,
E-SW-004,,LanguageTool developer documentation,2026,,,,,not-applicable-no-doi,,,
E-SW-005,,LaTeX Lint,2026,,,,,not-applicable-no-doi,,,
E-SW-006,,Pandoc filters and document AST,2026,,,,,not-applicable-no-doi,,,
E-SW-007,,pylatexenc LaTeX walker and node model,2026,,,,,not-applicable-no-doi,,,
E-SW-008,,latexdiff markup-aware visual document comparison,2026,,,,,not-applicable-no-doi,,,
E-SW-009,,GROBID documentation,2026,,,,,not-applicable-no-doi,,,
E-SW-010,,textstat readability formulas,2026,,,,,not-applicable-no-doi,,,
E-SW-011,,Inspect AI evaluation framework,2026,,,,,not-applicable-no-doi,,,
E-SW-012,,llama.cpp local inference runtime,2026,,,,,not-applicable-no-doi,,,
E-SW-013,,LTeX+ Language Server,2026,,,,,not-applicable-no-doi,,,
E-SW-014,,plasTeX document processing framework,2026,,,,,not-applicable-no-doi,,,
E-SW-015,,tree-sitter-latex grammar,2026,,,,,not-applicable-no-doi,,,
E-SW-016,,LaTeXML manual,2026,,,,,not-applicable-no-doi,,,
E-SW-017,,unified-latex documentation,2026,,,,,not-applicable-no-doi,,,
E-SW-018,,TexSoup documentation,2026,,,,,not-applicable-no-doi,,,
E-SW-019,,jsPsych documentation,2026,,,,,not-applicable-no-doi,,,
E-SW-020,,latexmk documentation,2026,,,,,not-applicable-no-doi,,,
E-SW-021,,ChkTeX documentation,2026,,,,,not-applicable-no-doi,,,
E-METHOD-007,,ACL Anthology filtered public bibliography export,2026,,,,,not-applicable-no-doi,,,
E-METHOD-008,,NBER generative AI workplace search export,2026,,,,,not-applicable-no-doi,,,
E-METHOD-009,,ICLR Proceedings writing/language-model search export,2026,,,,,not-applicable-no-doi,,,
