bib_key,expected_doi,expected_title,expected_year,identifier,canonical_doi,canonical_title,canonical_year,title_similarity,status,raw_response,raw_sha256,error,reused_from_evidence
jin2022style,10.1162/coli_a_00426,Deep learning for text style transfer: a survey,2022,,10.1162/coli_a_00426,Deep Learning for Text Style Transfer: A Survey,2022,1.0,verified,raw/bib-doi-022-jin2022style.json,e46629e8661458f872b0a25e39cb5294cd7c1856b1040aca3e2c572be84faa89,,no
zheng2023judging,,Judging {LLM}-as-a-judge with {MT}-{B}ench and {C}hatbot {A}rena,2023,arXiv:2306.05685,,,,,identifier-only,,,,no
panickssery2024llm,,{LLM} evaluators recognize and favor their own generations,2024,arXiv:2404.13076,,,,,identifier-only,,,,no
dubois2024length,,Length-controlled {AlpacaEval}: a simple way to debias automatic evaluators,2024,arXiv:2404.04475,,,,,identifier-only,,,,no
chakrabarty2024art,,Art or artifice? {L}arge language models and the false promise of creativity,2024,arXiv:2309.14556,,,,,identifier-only,,,,no
plavensigray2017readability,10.7554/eLife.27725,The readability of scientific texts is decreasing over time,2017,,10.7554/elife.27725,The readability of scientific texts is decreasing over time,2017,1.0,verified,raw/bib-doi-027-plavensigray2017readability.json,f9968fff08d2fa9f89fbf60d8738467348f5305d35e1cad9c144527dafa0ff45,,no
martinez2021terminology,10.1098/rspb.2020.2581,Specialized terminology reduces the number of citations of scientific papers,2021,,10.1098/rspb.2020.2581,Specialized terminology reduces the number of citations of scientific papers,2021,1.0,verified,raw/bib-doi-028-martinez2021terminology.json,aa2e5b74fcc63f47832e7823f08f10936dcaffca4a136141ba6e0678e5fd557b,,no
crossley2022clear,10.3758/s13428-022-01802-x,A large-scaled corpus for assessing text readability,2022,,10.3758/s13428-022-01802-x,A large-scaled corpus for assessing text readability,2022,1.0,verified,raw/bib-doi-029-crossley2022clear.json,cb204f4e9bb31ffd7857278a955e8b83838cc56a2430255b2623d6d3c36a92b7,,no
graesser2004cohmetrix,10.3758/BF03195564,Coh-{M}etrix: analysis of text on cohesion and language,2004,,10.3758/bf03195564,Coh-Metrix: Analysis of text on cohesion and language,2004,1.0,verified,raw/bib-doi-030-graesser2004cohmetrix.json,64613216c6fc7356b2ae775d4d86f0eff2ff614bff7cf24647e90d73cc1bcd2c,,no
biber1988variation,,Variation across Speech and Writing,1988,,,,,,not-applicable-no-doi,,,,no
korinek2023generative,10.1257/jel.20231736,Generative {AI} for economic research: use cases and implications for economists,2023,,10.1257/jel.20231736,Generative AI for Economic Research: Use Cases and Implications for Economists,2023,1.0,verified,raw/bib-doi-032-korinek2023generative.json,c707bf6c33c9188d340663bb341a579d0adf1f719d1f5a93ea62f745fac4a7de,,no
liang2024monitoring,,Monitoring {AI}-modified content at scale: a case study on the impact of {ChatGPT} on {AI} conference peer reviews,2024,arXiv:2403.07183,,,,,identifier-only,,,,no
liang2024mapping,,Mapping the increasing use of {LLMs} in scientific papers,2024,arXiv:2404.01268,,,,,identifier-only,,,,no
latona2024lottery,,The {AI} review lottery: widespread {AI}-assisted peer reviews boost paper scores and acceptance rates,2024,arXiv:2405.02150,,,,,identifier-only,,,,no
lin2025divergent,,Divergent {LLM} adoption and heterogeneous convergence paths in research writing,2025,arXiv:2504.13629,,,,,identifier-only,,,,no
glynn2024academai,,Academ-{AI}: documenting the undisclosed use of generative {AI} in academic publishing,2024,arXiv:2411.15218,,,,,identifier-only,,,,no
wikipedia2026signs,,Signs of {AI} writing,2026,,,,,,not-applicable-no-doi,,,,no
russell2026storyscope,,{StoryScope}: discourse-level detection of machine-generated narrative,2026,"arXiv:2604.03136, as summarized in the humanizer-stack repository; not independently inspected",,,,,identifier-only,,,,no
noy2023experimental,10.1126/science.adh2586,Experimental Evidence on the Productivity Effects of Generative Artificial Intelligence,2023,,10.1126/science.adh2586,Experimental evidence on the productivity effects of generative artificial intelligence,2023,1.0,verified,raw/evidence-doi-003-e-ext-001.json,32e6648993cda882403094bda127351f2bf54b634c397af2737130147a51680a,,yes
nair2024closing,10.18653/v1/2024.emnlp-main.928,Closing the Loop: Learning to Generate Writing Feedback via Language Model Simulated Student Revisions,2024,,10.18653/v1/2024.emnlp-main.928,Closing the Loop: Learning to Generate Writing Feedback via Language Model Simulated Student Revisions,2024,1.0,verified,raw/evidence-doi-005-e-ext-003.json,edcf364c479f1bd28a2aab8bbededef5606c67fe350be3c40b83633d5df51740,,yes
rashkin2025story,10.18653/v1/2025.acl-long.1254,Help Me Write a Story: Evaluating {LLM}s' Ability to Generate Writing Feedback,2025,,10.18653/v1/2025.acl-long.1254,Help Me Write a Story: Evaluating LLMs’ Ability to Generate Writing Feedback,2025,1.0,verified,raw/evidence-doi-014-e-ext-007.json,0d1f3927eebaadf3b4f20396a13b4210b2c261f47e310e20f1c0730180a552f5,,yes
li2024revisions,,Using Large Language Models to Assess Young Students' Writing Revisions,2024,,,,,,not-applicable-no-doi,,,,no
behzad2024feedback,,Assessing Online Writing Feedback Resources: Generative {AI} vs. Good Samaritans,2024,,,,,,not-applicable-no-doi,,,,no
li2024disclosure,10.18653/v1/2024.emnlp-main.279,How Does the Disclosure of {AI} Assistance Affect the Perceptions of Writing?,2024,,10.18653/v1/2024.emnlp-main.279,How Does the Disclosure of AI Assistance Affect the Perceptions of Writing?,2024,1.0,verified,raw/evidence-doi-017-e-ext-010.json,17c1d79da88a27c4f0365c817d680646ebbb13aadc3a5729a4e2c11fb8c19c3b,,yes
dillon2025shifting,10.3386/w33795,Shifting Work Patterns with Generative {AI},2025,,10.3386/w33795,Shifting Work Patterns with Generative AI,2025,1.0,verified,raw/evidence-doi-018-e-ext-011.json,86649329c3315893d6931813c0770b24918263ed5a412dc0e74a72180a233b18,,yes
dellacqua2026jagged,10.1287/orsc.2025.21838,Navigating the Jagged Technological Frontier: Field Experimental Evidence of the Effects of Artificial Intelligence on Knowledge Worker Productivity and Quality,2026,,10.1287/orsc.2025.21838,Navigating the Jagged Technological Frontier: Field Experimental Evidence of the Effects of Artificial Intelligence on Knowledge Worker Productivity and Quality,2026,1.0,verified,raw/evidence-doi-020-e-ext-013.json,db59d628e907d71ea0c66c67383ded3bf31e7e8cff9420ba7e0e121b2a44d5aa,,yes
mugaanyi2024citation,10.2196/52935,Evaluation of Large Language Model Performance and Reliability for Citations and References in Scholarly Writing: Cross-Disciplinary Study,2024,,10.2196/52935,Evaluation of Large Language Model Performance and Reliability for Citations and References in Scholarly Writing: Cross-Disciplinary Study,2024,1.0,verified,raw/evidence-doi-022-e-ext-015.json,f6b91984fc35906a3035f692002b75b87954d1210eefa7d0b64ef49f8ace532e,,yes
rethlefsen2021prismas,10.1186/s13643-020-01542-z,{PRISMA-S}: An Extension to the {PRISMA} Statement for Reporting Literature Searches in Systematic Reviews,2021,,10.1186/s13643-020-01542-z,PRISMA-S: an extension to the PRISMA Statement for Reporting Literature Searches in Systematic Reviews,2021,1.0,verified,raw/evidence-doi-009-e-method-001.json,9a6bd05d207028af91aa18151aa9f2d3498e4244d5565f90153b2e4531024349,,yes
nist2023airmf,,Artificial Intelligence Risk Management Framework ({AI RMF} 1.0),2023,,,,,,not-applicable-no-doi,,,,no
icmje2025ai,,Use of Artificial Intelligence in Scholarly Manuscripts,2025,,,,,,not-applicable-no-doi,,,,no
vale2026docs,,Vale: A Prose Linter,2026,,,,,,not-applicable-no-doi,,,,no
textlint2026docs,,textlint: Pluggable Natural-Language Linting,2026,,,,,,not-applicable-no-doi,,,,no
languagetool2026dev,,LanguageTool Developer Documentation,2026,,,,,,not-applicable-no-doi,,,,no
latexlint2026,,latexlint,2026,,,,,,not-applicable-no-doi,,,,no
meng2026systematic,10.1016/j.jeap.2026.101726,"A Systematic Review of {AI}-Assisted Academic Writing: Tools, Measures, and Effects",2026,,10.1016/j.jeap.2026.101726,"A systematic review of AI-assisted academic writing: Tools, measures, and effects",2026,1.0,verified,raw/evidence-doi-024-e-ext-017.json,71e879332edacdd003912a47291b69bee53a94282f51079f7f6c8e0ce0f0e6a6,,yes
abudalfa2026awe,10.1016/j.asw.2026.101041,"Generative Artificial Intelligence for Automated Writing Evaluation: A Systematic Review of Trends, Efficacy, and Challenges",2026,,10.1016/j.asw.2026.101041,"Generative artificial intelligence for automated writing evaluation: A systematic review of trends, efficacy, and challenges",2026,1.0,verified,raw/evidence-doi-025-e-ext-018.json,e15fe134c9a3206adc023fa29f883f88e7a6458a2592b9530ff5cce06fb1ecb4,,yes
mysore2025paths,10.18653/v1/2025.emnlp-main.852,Prototypical Human--{AI} Collaboration Behaviors from {LLM}-Assisted Writing in the Wild,2025,,10.18653/v1/2025.emnlp-main.852,Prototypical Human-AI Collaboration Behaviors from LLM-Assisted Writing in the Wild,2025,1.0,verified,raw/evidence-doi-026-e-ext-019.json,dfc830fbfbd85b1e08eeff359bb7987e1be4574c0e467f7bd46660fd26fe8be8,,yes
brynjolfsson2025work,10.1093/qje/qjae044,Generative {AI} at Work,2025,,10.1093/qje/qjae044,Generative AI at Work,2025,1.0,verified,raw/evidence-doi-027-e-ext-020.json,81bf9c3ccd8acc8551d889098dbc49e35990f090325b9cb578d0debf9a22a432,,yes
fang2026mindcopilot,,{MindCopilot}: Towards Formalizing and Evaluating Granular Human--{LLM} Co-Writing,2026,,,,,,not-applicable-no-doi,,,,no
pandoc2026filters,,Pandoc Filters and Document Abstract Syntax Tree,2026,,,,,,not-applicable-no-doi,,,,no
pylatexenc2026,,pylatexenc Documentation,2026,,,,,,not-applicable-no-doi,,,,no
latexdiff2026,,latexdiff: Determine and Mark Up Significant Differences between LaTeX Files,2026,,,,,,not-applicable-no-doi,,,,no
grobid2026,,{GROBID} Documentation,2026,,,,,,not-applicable-no-doi,,,,no
textstat2026,,textstat,2026,,,,,,not-applicable-no-doi,,,,no
inspectai2026,,Inspect {AI},2026,,,,,,not-applicable-no-doi,,,,no
llamacpp2026,,llama.cpp,2026,,,,,,not-applicable-no-doi,,,,no
ltexplus2026,,{LTeX+} Language Server,2026,,,,,,not-applicable-no-doi,,,,no
plastex2026,,plasTeX: A Python Framework for Processing LaTeX Documents,2026,,,,,,not-applicable-no-doi,,,,no
treesitterlatex2026,,tree-sitter-latex,2026,,,,,,not-applicable-no-doi,,,,no
latexml2026,,LaTeXML Manual,2026,,,,,,not-applicable-no-doi,,,,no
flower1981cognitive,10.58680/ccc198115885,A Cognitive Process Theory of Writing,1981,,10.58680/ccc198115885,A Cognitive Process Theory of Writing,1981,1.0,verified,raw/bib-doi-072-flower1981cognitive.json,34d89a97f3643d7e4a430e1ad602632d5aa042088d313359f3a67bef14c8e8b9,,no
bereiter1987psychology,,The Psychology of Written Composition,1987,,,,,,not-applicable-no-doi,,,,no
swales1990genre,,Genre Analysis: English in Academic and Research Settings,1990,,,,,,not-applicable-no-doi,,,,no
hyland2005metadiscourse,,Metadiscourse: Exploring Interaction in Writing,2005,,,,,,not-applicable-no-doi,,,,no
hattie2007feedback,10.3102/003465430298487,The Power of Feedback,2007,,10.3102/003465430298487,The Power of Feedback,2007,1.0,verified,raw/bib-doi-076-hattie2007feedback.json,845fd0d8a74b533e336d07b0fe7bd800773d815a97c03de8f9de0512a4c86594,,no
nicol2006formative,10.1080/03075070600572090,Formative Assessment and Self-Regulated Learning: A Model and Seven Principles of Good Feedback Practice,2006,,10.1080/03075070600572090,Formative assessment and self‐regulated learning: a model and seven principles of good feedback practice,2006,1.0,verified,raw/bib-doi-077-nicol2006formative.json,59510d3c573c5d7a9255ef60ba7bf420e832dc1dcebf5b9151be6ba932ed5ab9,,no
grammarly2026enterprise,,Grammarly for Enterprise,2026,,,,,,not-applicable-no-doi,,,,no
grammarly2026privacy,,Privacy and Security FAQs,2026,,,,,,not-applicable-no-doi,,,,no
overleaf2026trackchanges,,Track Changes in Overleaf,2026,,,,,,not-applicable-no-doi,,,,no
writefull2026overleaf,,Writefull for Overleaf,2026,,,,,,not-applicable-no-doi,,,,no
paperpal2026assistant,,AI Academic Writing Tool and Research Assistant,2026,,,,,,not-applicable-no-doi,,,,no
trinka2026privacy,,Trinka AI Help Center and Privacy Features,2026,,,,,,not-applicable-no-doi,,,,no
