screening_id,candidate_identity,known_item,title,source,year,doi,identifier,ai_term_hits,writing_term_hits,screening_decision,screening_reason,reviewer_1,reviewer_2,adjudication,exclusion_code,full_text_url,full_text_verified,screening_notes,selected_for_manual_review
S-0012,doi:10 1515 9781474473644 014,no,11 Economimesis,crossref,2019,10.1515/9781474473644-014,,0,0,auto-exclude-low-relevance-but-retain,No configured AI or writing terms in title/abstract; a reviewer may overturn this exclusion.,,,,,,no,,no
S-0013,doi:10 1515 9781503637900 012,no,11. Human–AI Symbiosis,crossref,2023,10.1515/9781503637900-012,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-0014,title:12 best practices leveraging generative ai experimental research,no,12 Best Practices for Leveraging Generative AI in Experimental Research,nber,2024,,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0015,doi:10 1515 9781503637900 013,no,12. Do We Always Welcome AI?,crossref,2023,10.1515/9781503637900-013,,0,0,auto-exclude-low-relevance-but-retain,No configured AI or writing terms in title/abstract; a reviewer may overturn this exclusion.,,,,,,no,,no
S-0016,doi:10 65528 9780807782507 013,no,12. Writing in the Age of AI,crossref,2010,10.65528/9780807782507-013,,0,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0017,doi:10 3138 9781487582890 003,no,2. Industrial Relations in Wartime: The Approach to Compulsion in Collective Bargaining,crossref,1956,10.3138/9781487582890-003,,0,0,auto-exclude-low-relevance-but-retain,No configured AI or writing terms in title/abstract; a reviewer may overturn this exclusion.,,,,,,no,,no
S-0018,doi:10 1525 9780520331044 004,no,2. Writing about Writing The House of Fame,crossref,1987,10.1525/9780520331044-004,,0,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0019,doi:10 18653 v1 2022 gem 1 46,no,20{Q}: Overlap-Free World Knowledge Benchmark for Language Models,manual-import,2022,10.18653/v1/2022.gem-1.46,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0020,title:2026 methods lecture melissa dell ashesh rambachan estimation inference ai generated data,no,"2026, Methods Lecture, Melissa Dell and Ashesh Rambachan, ""Estimation and Inference with AI-Generated Data""",nber,2026,,,0,0,auto-exclude-low-relevance-but-retain,No configured AI or writing terms in title/abstract; a reviewer may overturn this exclusion.,,,,,,no,,no
S-0021,doi:10 1515 9783112206393 012,no,273The Critical AI Agent: Enhancing Critical Feedback and Academic Productivity in the Age of Artificial Intelligence,crossref,2025,10.1515/9783112206393-012,,0,2,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0022,title:2nd longitudinal corpus children s writing enhanced output specific spelling patterns,no,A 2nd Longitudinal Corpus for Children{'}s Writing with Enhanced Output for Specific Spelling Patterns,manual-import,2018,,,0,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0023,doi:10 3138 9781487582890 004,no,3. Compulsory Collective Bargaining in Action,crossref,1956,10.3138/9781487582890-004,,0,0,auto-exclude-low-relevance-but-retain,No configured AI or writing terms in title/abstract; a reviewer may overturn this exclusion.,,,,,,no,,no
S-0024,doi:10 18653 v1 2025 findings emnlp 562,no,3{D}-Aware Vision-Language Models Fine-Tuning with Geometric Distillation,manual-import,2025,10.18653/v1/2025.findings-emnlp.562,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0025,doi:10 18653 v1 2025 findings acl 722,no,"3{DM}: Distill, Dynamic Drop, and Merge for Debiasing Multi-modal Large Language Models",manual-import,2025,10.18653/v1/2025.findings-acl.722,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0026,doi:10 1515 9783111677798 003,no,3 How Generative AI Models Work: Behind the Code,crossref,2025,10.1515/9783111677798-003,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0027,doi:10 1515 9780822393047 005,no,3 Writing Shame,crossref,2020,10.1515/9780822393047-005,,0,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0028,doi:10 3726 978 1 4539 1271 3 57,no,41 Youth Writing: Rage Against the Machine,crossref,,10.3726/978-1-4539-1271-3/57,,0,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0029,doi:10 1071 9781486321438 ch05,no,5 Will AI improve productivity?,crossref,2026,10.1071/9781486321438_ch05,,0,0,auto-exclude-low-relevance-but-retain,No configured AI or writing terms in title/abstract; a reviewer may overturn this exclusion.,,,,,,no,,no
S-0030,doi:10 18653 v1 2025 acl long 1219,no,500x{C}ompressor: Generalized Prompt Compression for Large Language Models,manual-import,2025,10.18653/v1/2025.acl-long.1219,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0031,doi:10 1093 he 9780198871354 003 0006,no,6. Assisted reproduction,crossref,2021,10.1093/he/9780198871354.003.0006,,0,0,auto-exclude-low-relevance-but-retain,No configured AI or writing terms in title/abstract; a reviewer may overturn this exclusion.,,,,,,no,,no
S-0032,doi:10 21832 9781788923132 009,no,6. Feedback to Feed Forward: Giving Effective Feedback in Advanced Chinese Writing,crossref,2019,10.21832/9781788923132-009,,0,2,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0033,doi:10 3726 978 3 0351 0437 0 9,no,6. Findings II – Assistance 167,crossref,,10.3726/978-3-0351-0437-0/9,,0,0,auto-exclude-low-relevance-but-retain,No configured AI or writing terms in title/abstract; a reviewer may overturn this exclusion.,,,,,,no,,no
S-0034,doi:10 1136 spcare 2025 pcc 26,no,7 Offering to closing the loop: harvesting feedback from family bereavement surveys and promoting healthcare staff learning,crossref,2025,10.1136/spcare-2025-pcc.26,,0,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0035,doi:10 18653 v1 2025 findings acl 1355,no,7 Points to Tsinghua but 10 Points to {清华}? {A}ssessing Large Language Models in Agentic Multilingual National Bias,manual-import,2025,10.18653/v1/2025.findings-acl.1355,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0036,doi:10 1515 9783111425078 007,no,7 Reinforcement Learning from Human Feedback (RLHF),crossref,2024,10.1515/9783111425078-007,,0,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0037,doi:10 3726 978 3 653 04262 7 18,no,7 Revisions,crossref,,10.3726/978-3-653-04262-7/18,,0,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0038,doi:10 1299 jsmemag 127 1268 36,no,第7回　Towards AI–Human Synergy for Efficient and Impactful Academic Writing(Academic writing and AI),crossref,2024,10.1299/jsmemag.127.1268_36,,0,2,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0039,doi:10 1515 9781503637900 009,no,8. AI Comes for the Writing Professions,crossref,2023,10.1515/9781503637900-009,,0,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0040,doi:10 12987 9780300251999 009,no,8. Writing,crossref,2020,10.12987/9780300251999-009,,0,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0041,doi:10 1515 9781503637900 010,no,9. The Creative Side of AI,crossref,2023,10.1515/9781503637900-010,,0,0,auto-exclude-low-relevance-but-retain,No configured AI or writing terms in title/abstract; a reviewer may overturn this exclusion.,,,,,,no,,no
S-0042,doi:10 1299 jsmemag 127 1270 42,no,第9回　Optimizing Peer Review with AI(Academic writing and AI),crossref,2024,10.1299/jsmemag.127.1270_42,,0,2,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0043,doi:10 1515 9781474473644 012,no,9 Qual Quelle: Valery’s Sources [from Writing and Difference],crossref,2019,10.1515/9781474473644-012,,0,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0044,doi:10 18653 v1 2025 arabicnlp sharedtasks 136,no,912 at {TAQEEM} 2025: A Distribution-aware Approach to {A}rabic Essay Scoring,manual-import,2025,10.18653/v1/2025.arabicnlp-sharedtasks.136,,0,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0045,doi:10 18653 v1 2024 case 1 14,no,{AAST}-{NLP} at {C}limate{A}ctivism 2024: Ensemble-Based Climate Activism Stance and Hate Speech Detection : Leveraging Pretrained Language Models,manual-import,2024,10.18653/v1/2024.case-1.14,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0046,doi:10 18653 v1 2023 arabicnlp 1 56,no,{AAST}-{NLP} at {A}r{AIE}val Shared Task: Tackling Persuasion technique and Disinformation Detection using Pre-Trained Language Models On Imbalanced Datasets,manual-import,2023,10.18653/v1/2023.arabicnlp-1.56,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0047,title:aast nlp smm 4 h 24 finetuning language models exact age classification effect outdoor spaces social anxiety,no,{AAST}-{NLP}@{\#}{SMM}4{H}{'}24: Finetuning Language Models for Exact Age Classification and Effect of Outdoor Spaces on Social Anxiety,manual-import,2024,,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0048,title:abc s who benefits from working ai ability beliefs calibration,no,"The ABC’s of Who Benefits from Working with AI: Ability, Beliefs, and Calibration",nber,2024,,,0,0,auto-exclude-low-relevance-but-retain,No configured AI or writing terms in title/abstract; a reviewer may overturn this exclusion.,,,,,,no,,no
S-0049,doi:10 18653 v1 2025 lm4uc 1 3,no,{ABDUL}: A New Approach to Build Language Models for Dialects Using Formal Language Corpora Only,manual-import,2025,10.18653/v1/2025.lm4uc-1.3,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0050,doi:10 18653 v1 2025 gebnlp 1 32,no,"Ableism, Ageism, Gender, and Nationality bias in {N}orwegian and Multilingual Language Models",manual-import,2025,10.18653/v1/2025.gebnlp-1.32,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0051,doi:10 1145 3613904 3641899,no,ABScribe: Rapid Exploration &amp; Organization of Multiple Writing Variations in Human-AI Co-Writing Tasks using Large Language Models,crossref,2024,10.1145/3613904.3641899,,5,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0052,title:abstract level deductive reasoning pre trained language models,no,Abstract-level Deductive Reasoning for Pre-trained Language Models,manual-import,2024,,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0053,doi:10 18653 v1 2024 findings emnlp 110,no,Abstraction-of-Thought Makes Language Models Better Reasoners,manual-import,2024,10.18653/v1/2024.findings-emnlp.110,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0054,title:abstractive text summarization based language model conditioning locality modeling,no,Abstractive Text Summarization based on Language Model Conditioning and Locality Modeling,manual-import,2020,,,1,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0055,doi:10 1016 s0198 8859 96 85604 7,no,Abstracts reviewers,crossref,1996,10.1016/s0198-8859(96)85604-7,,0,0,auto-exclude-low-relevance-but-retain,No configured AI or writing terms in title/abstract; a reviewer may overturn this exclusion.,,,,,,no,,no
S-0056,doi:10 18653 v1 2024 findings emnlp 87,no,{AC}-{EVAL}: Evaluating {A}ncient {C}hinese Language Understanding in Large Language Models,manual-import,2024,10.18653/v1/2024.findings-emnlp.87,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0057,identifier:arxiv 2411 15218,no,Academ-{AI}: documenting the undisclosed use of generative {AI} in academic publishing,local-bibliography,2024,,arXiv:2411.15218,1,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0058,doi:10 1016 j nlp 2026 100215,no,Academic english writing generation-evaluation closed-loop system driven by large language model: adversarial training and cognitive logic verification,crossref,2026,10.1016/j.nlp.2026.100215,,2,2,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0059,doi:10 1073 pnas 2526734123,no,Academic journals’ AI policies fail to curb the surge in AI-assisted academic writing,crossref,2026,10.1073/pnas.2526734123,,1,4,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0060,doi:10 1016 j jslw 2003 08 005,no,Academic writing: A European perspective,crossref,2003,10.1016/j.jslw.2003.08.005,,0,2,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0061,doi:10 5040 9781474211710,no,Academic Writing and Genre : A Systematic Analysis,crossref,2008,10.5040/9781474211710,,0,2,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0062,doi:10 4324 9781003329138 4,no,Academic Writing for Success,crossref,2022,10.4324/9781003329138-4,,0,2,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0063,doi:10 18653 v1 2024 emnlp main 293,no,Academics Can Contribute to Domain-Specialized Language Models,manual-import,2024,10.18653/v1/2024.emnlp-main.293,,1,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0064,doi:10 18653 v1 2026 acl long 1971,no,{ACBQ}: Adaptive Cross-Block Quantization of Large Language Models,manual-import,2026,10.18653/v1/2026.acl-long.1971,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0065,doi:10 18653 v1 2025 acl industry 49,no,Accelerating Antibiotic Discovery with Large Language Models and Knowledge Graphs,manual-import,2025,10.18653/v1/2025.acl-industry.49,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,yes
S-0066,title:accelerating inference pretrained language models by unified multi perspective early exiting,no,Accelerating Inference for Pretrained Language Models by Unified Multi-Perspective Early Exiting,manual-import,2022,,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0067,doi:10 1162 tacl a 643,no,Accelerating Language Model Workflows with Prompt Choreography,manual-import,2026,10.1162/tacl.a.643,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0068,doi:10 18653 v1 2025 conll 1 18,no,"Accelerating Large Language Model Pretraining via {LFR} Pedagogy: Learn, Focus, and Review",manual-import,2025,10.18653/v1/2025.conll-1.18,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0069,doi:10 17760 d20669654,no,Accelerating large scale generative AI: a comprehensive study,crossref,,10.17760/d20669654,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0070,doi:10 18653 v1 2024 findings acl 660,no,Accelerating Multilingual Language Model for Excessively Tokenized Languages,manual-import,2024,10.18653/v1/2024.findings-acl.660,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0071,doi:10 18653 v1 2024 blackboxnlp 1 32,no,Accelerating Sparse Autoencoder Training via Layer-Wise Transfer Learning in Large Language Models,manual-import,2024,10.18653/v1/2024.blackboxnlp-1.32,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0072,doi:10 1080 09500782 2018 1511726,no,‘Accept with revisions’: regulating the language of student writing,crossref,2018,10.1080/09500782.2018.1511726,,0,2,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0073,title:access control by query rewriting case k or ap,no,Access control by query rewriting: the case of {K}or{AP},manual-import,2014,,,0,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0074,title:accessible coded input method j apanese extensive writing,no,An Accessible Coded Input Method for {J}apanese Extensive Writing,manual-import,2011,,,0,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0075,doi:10 18653 v1 2024 eacl long 140,no,``According to . . . ``: Prompting Language Models Improves Quoting from Pre-Training Data,manual-import,2024,10.18653/v1/2024.eacl-long.140,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0076,doi:10 63317 37crtjgcefv3,no,Accountable Human-{AI} Deliberation with {LLM}s: Scaling Collective Intelligence through Symbiotic Scaffolding,manual-import,2026,10.63317/37crtjgcefv3,,3,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0077,doi:10 18653 v1 2021 cmcl 1 6,no,Accounting for Agreement Phenomena in Sentence Comprehension with Transformer Language Models: Effects of Similarity-based Interference on Surprisal and Attention,manual-import,2021,10.18653/v1/2021.cmcl-1.6,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0078,doi:10 18653 v1 2025 findings naacl 438,no,Accounting for Sycophancy in Language Model Uncertainty Estimation,manual-import,2025,10.18653/v1/2025.findings-naacl.438,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0079,doi:10 4135 9781446279977 n8,no,Accuracy,crossref,2006,10.4135/9781446279977.n8,,0,0,auto-exclude-low-relevance-but-retain,No configured AI or writing terms in title/abstract; a reviewer may overturn this exclusion.,,,,,,no,,no
S-0080,doi:10 1007 1 4020 3714 7 14,no,Accuracy of Citation Counts,crossref,,10.1007/1-4020-3714-7_14,,0,0,auto-exclude-low-relevance-but-retain,No configured AI or writing terms in title/abstract; a reviewer may overturn this exclusion.,,,,,,no,,no
S-0081,doi:10 1016 j asw 2026 101047,no,"Accuracy and fairness of generative AI in automated essay scoring: Comparing GPT-4o, feature-based models, and human raters",crossref,2026,10.1016/j.asw.2026.101047,,2,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0082,doi:10 18653 v1 2024 emnlp main 174,no,The Accuracy Paradox in {RLHF}: When Better Reward Models Don{'}t Yield Better Language Models,manual-import,2024,10.18653/v1/2024.emnlp-main.174,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0083,doi:10 1162 tacl a 23,no,Accurate and Efficient Fine-Tuning of Quantized Large Language Models Through Optimal Balance in Adaptation,manual-import,2025,10.1162/tacl.a.23,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0084,doi:10 18653 v1 2023 acl industry 63,no,Accurate Training of Web-based Question Answering Systems with Feedback from Ranked Users,manual-import,2023,10.18653/v1/2023.acl-industry.63,,0,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0085,title:accurate word segmentation using transliteration language model projection,no,Accurate Word Segmentation using Transliteration and Language Model Projection,manual-import,2013,,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0086,doi:10 1515 9781474473644 002,no,Acknowledgements,crossref,2019,10.1515/9781474473644-002,,0,0,auto-exclude-low-relevance-but-retain,No configured AI or writing terms in title/abstract; a reviewer may overturn this exclusion.,,,,,,no,,no
S-0087,doi:10 18653 v1 2025 findings emnlp 607,no,Acquiescence Bias in Large Language Models,manual-import,2025,10.18653/v1/2025.findings-emnlp.607,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0088,title:acquiring bidirectionality via large small language models,no,Acquiring Bidirectionality via Large and Small Language Models,manual-import,2025,,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0089,doi:10 18653 v1 2024 acl long 441,no,Acquiring Clean Language Models from Backdoor Poisoned Datasets by Downscaling Frequency Space,manual-import,2024,10.18653/v1/2024.acl-long.441,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0090,title:acquiring sense tagged examples using relevance feedback,no,Acquiring Sense Tagged Examples using Relevance Feedback,manual-import,2008,,,0,1,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0091,doi:10 18653 v1 2025 acl long 898,no,Acquisition and Application of Novel Knowledge in Large Language Models,manual-import,2025,10.18653/v1/2025.acl-long.898,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0092,doi:10 18653 v1 2025 acl long 1010,no,On the Acquisition of Shared Grammatical Representations in Bilingual Language Models,manual-import,2025,10.18653/v1/2025.acl-long.1010,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0093,doi:10 18653 v1 2023 gwc 1 5,no,On the Acquisition of {W}ord{N}et Relations in {P}ortuguese from Pretrained Masked Language Models,manual-import,2023,10.18653/v1/2023.gwc-1.5,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0094,doi:10 18653 v1 2026 findings acl 437,no,{ACSE}: An Ancient Character Semantic-Aware Embedding for Large Language Models,manual-import,2026,10.18653/v1/2026.findings-acl.437,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0095,title:actes de l atelier ethic alignment large language models 2025 ealm,no,Actes de l'atelier Ethic and Alignment of (Large) Language Models 2025 (EALM),manual-import,2025,,,2,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0096,doi:10 18653 v1 2024 findings emnlp 479,no,Activation Scaling for Steering and Interpreting Language Models,manual-import,2024,10.18653/v1/2024.findings-emnlp.479,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0097,doi:10 18653 v1 2025 acl long 634,no,Activation Steering Decoding: Mitigating Hallucination in Large Vision-Language Models through Bidirectional Hidden State Intervention,manual-import,2025,10.18653/v1/2025.acl-long.634,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
S-0098,doi:10 18653 v1 2025 babylm main 34,no,Active Curriculum Language Modeling over a Hybrid Pre-training Method,manual-import,2025,10.18653/v1/2025.babylm-main.34,,1,0,manual-screen-required,Candidate contains configured AI/writing terms; title/abstract screening and full-text eligibility remain outstanding.,,,,,,no,,no
