title,authors,year,doi,url,abstract,database,identifier
Guidelines for writing software building reports,"Fajardo Quesada, Annier Jesús & Herrero Pacheco, René",2024,,https://ideas.repec.org/a/cwf/grarti/gr202439.html,"The linkage of software with various areas of knowledge has increased significantly, highlighting the importance of process automation thanks to the expansion of imaginative capabilities in this area. ... This landscape demands standardized methods for the creation and dissemination of applications, although there is currently no detailed guidance for writing reports on software creation. It is crucial to adopt methodological guidelines that allow the reproducibility of software research, clearly differentiating between the creation and the evaluation - validation of these tools. ... The article proposes a detailed outline for writing software development reports, covering from the introduction, method, results, to the discussion and conclusions. This outline covers aspects such as the theoretical and historical framework, the importance and necessity of the product, classification of the study, details of the creation process, technologies used, and software evaluation .",RePEc/IDEAS,RePEc:cwf:grarti:gr202439
Mediating effect of ambiguity tolerance in automated writing evaluation research model,Yi Xue,2024,,https://ideas.repec.org/a/onl/ajossh/v9y2024i2p49-77id1178.html,"In light of the advancement of generative artificial intelligence (GenAI) technology-empowered automated writing evaluation (AWE) system represents a revolutionary paradigm at the forefront of mobile assisted English learning (MAEL). Numerous empirical studies have been carried out to test the efficacy of automated writing corrective feedback in writing assistance. ... This study utilized the partial least square structural equation modeling (PLS-SEM) method to analyze 679 valid questionnaire responses via SPSS 29 and SmartPLS 4. The results elucidated that the AWE research model incorporating the technology acceptance model (TAM model), task technology fit model (TTF model), and individual characteristics could predict the user’s adoption of AWE software in the completion of writing tasks. Moreover, ambiguity tolerance functions as an effective mediator in the GenAI technology-empowered automated writing evaluation research model.",RePEc/IDEAS,RePEc:onl:ajossh:v:9:y:2024:i:2:p:49-77:id:1178
A Multi-Agent AI Framework for Musical Score Writing,Scott Josephson & Atif Farid Mohammad,2025,,https://ideas.repec.org/p/smo/raiswp/0607.html,"The development of artificial intelligence ( AI ) has significantly influenced music composition, yet current single-agent AI systems face limitations in versatility, adaptability, and collaborative dynamics, often producing repetitive and stylistically rigid compositions. To address these challenges, this research proposes a multi-agent AI framework specifically designed for musical score writing , utilizing Agentic AI principles where autonomous, specialized agents collaboratively contribute elements such as melody, harmony, rhythm, and dynamics, emulating human compositional processes. ... The expected findings aim to contribute significantly to computational creativity theory and practical applications in education, entertainment, and therapy, highlighting the potential of multi-agent systems to advance human - AI collaborative creativity.",RePEc/IDEAS,RePEc:smo:raiswp:0607
AI - generated text in academic writing : Balancing structural proficiency and intellectual autonomy,Gohar Rahman & Badri Abdulhakim Mudhsh & Eqab Ali A. Almut AI ri & Marouan Kouki,2025,,https://ideas.repec.org/a/aac/ijirss/v8y2025i4p819-831id7953.html,"As generative AI tools like ChatGPT-4 become more common in higher education, their impact on student writing demands critical attention. This study investigates how AI -assisted composition influences undergraduate academic writing , focusing on structure, evidence use, and critical thinking. ... Participants were divided into two groups: one using ChatGPT-4 during essay writing and another working independently. ... Non- AI writers reported stronger conceptual understanding developed through personal effort. ... The study calls for pedagogical strategies that position AI as a writing aid—not a replacement—while fostering critical thinking and academic integrity.",RePEc/IDEAS,RePEc:aac:ijirss:v:8:y:2025:i:4:p:819-831:id:7953
AI Bias for Creative Writing : Subjective Assessment Versus Willingness to Pay,"Abel, Martin & Johnson, Reed",2025,,https://ideas.repec.org/p/iza/izadps/dp17646.html,"How do perceptions of AI versus human authorship affect engagement with creative work? In an incentivized experiment, participants (N=654) assessed the content of a short story labeled as either human or AI - generated and reported their willingness to pay and work to finish reading it. Consistent with prior research, the AI -labeled story received significantly lower content assessments. However, the time people invest in reading the story and their willingness to pay and work did not differ between the labels, even for the 36% of participants who profess to value human over AI writing .",RePEc/IDEAS,RePEc:iza:izadps:dp17646
Early detection of occupational stress: Enhancing workplace safety with machine learning and large language models,Mohammad Junayed Hasan & Jannat Sultana & Silvia Ahmed & Sifat Momen,2025,,https://ideas.repec.org/a/plo/pone00/0323265.html,"Utilizing a newly published workplace survey dataset, we developed a novel feature selection pipeline identifying 39 key indicators of work-stress. An ensemble of three ML models achieved a state-of-the-art accuracy of 90.32%, surpassing existing studies. ... Additionally, we created an algorithm to convert tabular data into texts with 100% information retention, facilitating domain analysis with large language models , revealing that occupational stress is more closely related to the biomedical domain than clinical or generalist domains. ... Explainable AI techniques identified excessive workload and ambiguity (27%), poor communication (17%), and a positive work environment (16%) as key stress factors. Unlike previous studies relying on clinical settings or biomarkers, our approach streamlines stress detection from simple survey questions, offering a real-time, deployable tool for periodic stress assessment in workplaces .",RePEc/IDEAS,RePEc:plo:pone00:0323265
Effectiveness and moderating factors of computer-mediated feedback in L2 writing : A meta-analysis,"Park, Shinjae",2025,,https://ideas.repec.org/a/asi/ijells/v14y2025i1p17-30id5328.html,"Computer-mediated feedback (CMF) for writing has garnered growing attention among practitioners and researchers. ... This study synthesized 19 valid effect sizes from 26 experimental studies conducted between 2021 and 2024 to evaluate the effectiveness of CMF in L2 learners’ writing performance and determine the moderating factors influencing its variability. ... Automated and immediate feedback demonstrated the strongest impact (g = 0.937 and g = 0.875) highlighting their importance in facilitating real-time corrections. ... Greater improvements were observed in academic writing tasks other than argumentative writing tasks. ... These findings suggest that CMF significantly contributes to L2 writing development, particularly in structured academic environments.",RePEc/IDEAS,RePEc:asi:ijells:v:14:y:2025:i:1:p:17-30:id:5328
Enhancing student writing feedback through teacher– AI collaboration in higher education,Shamim Akhter & Muhammad Ajmal & Sh AI sta Zeb & S AI ra & Rabindra Dev Prasad,2025,,https://ideas.repec.org/a/aoj/jeelre/v12y2025i4p695-702id7877.html,"The objective of this research is to explore the collaborative role of AI and teachers in providing feedback on written assignments. Teacher feedback is key to improving students’ writing , but now there is AI that can perform the same role. ... Forty students studying BS English at Shaikh Ayaz University, Shikarpur, Pakistan participated, receiving feedback on their papers from a teacher, and the same assignments also received AI -generated feedback . ... Teachers benefited from less workload when AI was included; the feedback was faster, encouraging students to revise their work more readily. ... The findings suggest that teachers and AI work more effectively together to provide feedback on writing , including grammar and formal expression of opinions.",RePEc/IDEAS,RePEc:aoj:jeelre:v:12:y:2025:i:4:p:695-702:id:7877
"Evaluating Teacher, AI , and Hybrid Feedback in English Language Learning: Impact on Student Motivation, Quality, and Performance in Hong Kong",Noble Lo & Sumie Chan & Alan Wong,2025,,https://ideas.repec.org/a/sae/sagope/v15y2025i3p21582440251352907.html,"This study investigates the effectiveness of teacher, AI -generated, and hybrid teacher- AI feedback on university studentsâ€™ English writing performance in Hong Kong. Using a mixed-methods approach, the research examines the impact of different feedback types on student motivation, feedback quality, and essay revisions . A total of 1,267 students participated in an experimental design, with essays evaluated across three groups: human feedback , AI feedback , and hybrid feedback . Quantitative findings indicate that human feedback led to the highest essay score improvements, followed by hybrid feedback , with AI feedback showing the least improvement. ... The study highlights opportunities and limitations in integrating AI into feedback practices, emphasising the need for structured human- AI collaboration rather than full automation.",RePEc/IDEAS,RePEc:sae:sagope:v:15:y:2025:i:3:p:21582440251352907
Exploring student experiences with generative AI in master’s thesis writing : an experiential learning approach,Olfa Chourabi & Aurélie Dudézert & Thierno Tounkara,2025,,https://ideas.repec.org/p/hal/journl/hal-05451137.html,The rapid adoption of Generative Artificial Intelligence (GenAI) in higher education has raised critical questions about its effective use within pedagogical practices. ... This paper bridges this gap by applying Kolb's experiential learning framework to examine students' experiences using GenAI in a Master's thesis- writing course within a Management Information Systems (MIS) curriculum.,RePEc/IDEAS,RePEc:hal:journl:hal-05451137
Exploring the barriers and facilities migrants face in accessing COVID-19 vaccines in Malaysia: A qualitative study,Tharani Loganathan & Amirah Zafirah Zaini & Hazreen Abdul Majid,2025,,https://ideas.repec.org/a/plo/pone00/0326045.html,"Digital appointment systems excluded many migrants due to language and literacy barriers, data privacy concerns, and the need for identity documents. ... Employer support, driven by economic interests, played a critical role in promoting compliance with workplace vaccination mandates. Collaboration with non-governmental organisations and community partners proved pivotal, offering tailored health communication and building trust. Flexible vaccine delivery strategies, including a shift from centralised to outreach models near residences and workplaces , enhanced access, particularly for hard-to-reach populations. Conclusion: Despite numerous challenges, Malaysia’s vaccination efforts were largely successful due to innovative and collaborative delivery and communication strategies.",RePEc/IDEAS,RePEc:plo:pone00:0326045
Generative AI in Action: Using AI to Scaffold Economic Writing Skill Development,Nazanin Khazra & Victoria Sheldon,2025,,https://ideas.repec.org/p/tor/tecipa/tecipa-809.html,"This paper addresses a growing challenge in higher education: the shift from take-home essays to in-person writing exams in response to generative AI . ... The intervention combines three steps: timed practice writing , AI - generated feedback guided by an instructor rubric, and structured student reflection. Drawing on self-regulated learning theory and the STRIVE framework for AI -integrated assessment, the exercise aimed to develop economic writing skills while teaching critical evaluation of AI suggestions. ... Building on these insights, we propose the SCAN-X framework (Scaffolded Critical AI -Nested eXams) as a generalizable model for designing scaffolded pathways that link AI -supported pre-exam practice with in-person assessments. The interventionâ€™s success depends on explicit scaffolding of metacognitive reflection and critical AI literacy, offering a model for courses where writing is assessed but not explicitly taught.",RePEc/IDEAS,RePEc:tor:tecipa:tecipa-809
Generative AI –mediated scaffolds for enhanced critical thinking in EFL writing,Hui Hong & Poonsri Vate-U-Lan & Chantana Viriyavejakul,2025,,https://ideas.repec.org/a/ajp/edwast/v9y2025i6p43-54id7751.html,"Generative AI tools present new opportunities for enhancing critical thinking (CT) in English as a Foreign Language (EFL) writing instruction. ... An eight-week multiple-case action research design was conducted across three vocational colleges, involving 92 students engaged in iterative writing and revision cycles guided by the GenAI-CT framework. ... Data were collected from student essays, AI interaction logs, reflective journals, and classroom observations. ... These results demonstrate that generative AI , when embedded in intentional pedagogical structures, can foster cognitive engagement rather than superficial automation. The GenAI-CT framework offers a replicable model for integrating AI in applied language and communication instruction, supporting educators in cultivating critical thinking through technology-enhanced learning environments.",RePEc/IDEAS,RePEc:ajp:edwast:v:9:y:2025:i:6:p:43-54:id:7751
Human – AI Collaboration : Students’ Changing Perceptions of Generative Artificial Intelligence and Active Learning Strategies,Hyunju Woo & Yoon Y. Cho,2025,,https://ideas.repec.org/a/gam/jsusta/v17y2025i18p8387-d1752758.html,"This paper explores ways to use AI for active learning strategies so that students in higher education may perceive generative artificial intelligence (generative AI ) as a collaborative partner in their learning experience. This study proposes AI can help advance educational sustainability when students read texts on critical posthumanism, reflect on the philosophical and ontological paradigms through which the human has been understood, and discuss the collaborative relationship between humans and AI using literary texts. By analyzing AI - collaborated writing assignments, student questionnaires, and peer evaluations, this study concludes there are three learning types based on the different levels of students’ perceived difficulties: a cognitive learner, who focuses on AI’s functional aspects such as information retrieval; a metacognitive learner, who engages with generative AI in a two-way communication; and an affective learner, who strictly differentiates the human from the nonhuman and claims reciprocity in human – AI communication to be impossible. This study utilizes a mixed-methods approach by integrating quantitative analysis of the student questionnaires and qualitative analysis of the writing assignments. The findings of the study will serve as a valuable resource for researchers and educators committed to fostering future-oriented citizenship through collaboration between humans and generative AI in higher education.",RePEc/IDEAS,RePEc:gam:jsusta:v:17:y:2025:i:18:p:8387-:d:1752758
Investigate How AI Algorithms Can Be Used to Automate English Language Proficiency Assessments,Zein Bassam Bani Younes,2025,,https://ideas.repec.org/a/jfr/wjel11/v15y2025i5p285.html,"This study explores the integration of artificial intelligence (AI) tools in English language learning and assessment among university students, focusing on its impact on the accuracy, efficiency, and comprehensiveness of evaluating speaking, listening, reading, and writing skills. ... Adopting a cross-sectional survey methodology, the study investigates how AI-driven assessments can enhance learning by providing instant feedback, streamlining evaluation processes, and potentially reducing the burden on educators. The findings suggest that AI offers promising opportunities to support language acquisition through automated scoring systems and personalized learning experiences tailored to individual needs. However, concerns persist regarding the reliability, fairness, and accuracy of AI-generated assessments, raising the need for standardized frameworks to ensure validity and minimize biases.",RePEc/IDEAS,RePEc:jfr:wjel11:v:15:y:2025:i:5:p:285
L2 Writing with AI : Perceptions and Engagement of EFL Learners in China,Xiaoyi Tang,2025,,https://ideas.repec.org/a/ibn/eltjnl/v18y2025i2p68.html,"Despite the growing use of artificial intelligence ( AI ) in foreign language education, research on how learners perceive and engage with AI tools remains limited. This study explores the perceptions and behaviors of Chinese EFL (English as a Foreign Language) learners regarding AI -assisted second/foreign language (L2) writing . ... The findings reveal that students perceive AI as significantly enhancing writing quality and efficiency in four key areas- language optimization, literature processing, content generation, and strategic support. ... The study also discusses the evolving nature of academic writing skills in the digital age, emphasizing the need for new pedagogical strategies. The results suggest a collaborative model that combines human creativity with AI capabilities to enhance the foreign language learning experience.",RePEc/IDEAS,RePEc:ibn:eltjnl:v:18:y:2025:i:2:p:68
Scientific Authorship in the Age of AI : Challenges for Editors and Institutions,Konstantinos T. Kotsis,2025,,https://ideas.repec.org/p/hal/journl/hal-05711155.html,"The extensive utilization of generative artificial intelligence ( AI ) tools like ChatGPT in academic writing poses significant challenges to conventional paradigms of scientific authorship and editorial oversight. ... Utilizing recent interdisciplinary literature, the paper contends that the growing integration of AI in the writing process challenges traditional notions of originality, intellectual contribution, and the ethical limits of authorship. It examines the epistemological conflicts that arise when non-sentient systems engage in knowledge production and evaluates the dangers associated with AI -generated hallucinations, citation fabrication, and unrecognized automation. ... It suggests a redefinition of human – AI collaboration grounded in the principles of transparency, accountability, and rigorous oversight. The paper advocates for collaborative efforts among editors, institutions, and educators to ensure that academic standards and practices develop in a manner that preserves the credibility, accountability, and inclusivity of scholarly publishing in the era of AI .",RePEc/IDEAS,RePEc:hal:journl:hal-05711155
The Epistemic Downside of Using LLM-Based Generative AI in Academic Writing,Bor Luen Tang,2025,,https://ideas.repec.org/a/gam/jpubli/v13y2025i4p63-d1808137.html,"There is now widespread use of large language (LLM)-based generative artificial intelligence ( AI ) tools in academic research and writing . ... Here, I explore epistemological aspects of AI use in academic writing and posit that there is evidence for three related pitfalls in AI use that should not be ignored. These include (1) epistemic detriment or harm in terms of illusions of understanding, (2) potential for cognitive dulling or impairment, and (3) AI dependency (both habitual and/or emotional). Thus, any potential infringements of academic ethics aside, AI use in academic writing incurs intrinsic problems that are epistemic in nature. These epistemic downsides call for restraint and moderation beyond regulatory measures to address ethical issues in AI use.",RePEc/IDEAS,RePEc:gam:jpubli:v:13:y:2025:i:4:p:63-:d:1808137
The Labor Market Effect of Generative Artificial Intelligence on Artists,Christos Makridis & Christos A. Makridis,2025,,https://ideas.repec.org/p/ces/ceswps/_12368.html,"I combine an occupation-level LLM task exposure index with establishment-based occupational outcomes from the Occupational Employment and Wage Statistics (OEWS) and individual microdata from the American Community Survey (ACS), estimating event-study specifications that compare more versus less exposed artistic occupations from 2017 to 2024. ... To investigate mechanisms, I use the Gallup Workplace Panel from 2023 to 2025 to measure AI use directly and relate changes in AI use to job satisfaction and burnout.",RePEc/IDEAS,RePEc:ces:ceswps:_12368
The perception of ChatGPT-based feedback in Hindi writing classes: A case study of Korean university students majoring in Hindi,Taejin Koh,2025,,https://ideas.repec.org/a/aac/ijirss/v8y2025i6p2611-2620id10169.html,"This study explores how Korean university students majoring in Hindi perceive and use ChatGPT-based feedback in an intensive Hindi writing course. ... Learners rated AI feedback as highly effective in grammar (M = 4.33), spelling (M = 4.21), and sentence structure (M = 3.92), while cultural appropriateness received the lowest score (M = 2.79). ... Interview data supported these findings, indicating that students relied on AI for quick, low-stakes revisions but sought instructor feedback for tasks involving cultural nuance and emotional expression. The results suggest that while ChatGPT facilitates self-regulated learning in form-focused writing , it remains limited in meaning-making and identity-related dimensions. ... This study offers practical implications for integrating AI into foreign language learning and highlights the evolving role of educators in the age of generative AI .",RePEc/IDEAS,RePEc:aac:ijirss:v:8:y:2025:i:6:p:2611-2620:id:10169
"The Role of AI in Academic Writing : Impacts on Writing Skills, Critical Thinking, and Integrity in Higher Education",Promethi Das Deep & Yixin Chen,2025,,https://ideas.repec.org/a/gam/jsoctx/v15y2025i9p247-d1741984.html,"Artificial Intelligence ( AI ) tools have transformed academic writing and literacy development in higher education. Students can now receive instant feedback on grammar, coherence, style, and argumentation using AI -powered writing assistants, like Grammarly, ChatGPT, and QuillBot. ... This study addresses this concern by synthesizing and evaluating peer-reviewed literature on the effectiveness of AI in supporting writing pedagogy. ... They can facilitate enhanced writing fluency, offer personalized tutoring, and reduce the cognitive load of drafting and revising . This study also compares AI -assisted and traditional writing approaches and discusses best practices for integrating AI tools into curricula while preserving academic integrity and creativity in student writing .",RePEc/IDEAS,RePEc:gam:jsoctx:v:15:y:2025:i:9:p:247-:d:1741984
Writing Is Coding for Sustainable Futures: Reimagining Poetic Expression Through Human – AI Dialogues in Environmental Storytelling and Digital Cultural Heritage,Hao-Chiang Koong Lin & Ruei-Shan Lu & Tao-Hua Wang,2025,,https://ideas.repec.org/a/gam/jsusta/v17y2025i15p7020-d1716067.html,"In the era of generative artificial intelligence, writing has evolved into a programmable practice capable of generating sustainable narratives and preserving cultural heritage through poetic prompts. This study proposes “ Writing Is Coding ” as a paradigm for sustainability education, exploring how students engage with AI -mediated multimodal creation to address environmental challenges. ... Five central themes emerged: writing as algorithmic design for sustainability (89.5%), emotional scaffolding for environmental awareness (78.9%), aesthetics of imperfection in cultural preservation (71.9%), collaborative dynamics in sustainable creativity (84.2%), and pedagogical value of prompt literacy (91.2%). Findings indicate that AI deepens environmental consciousness and reframes writing as a computational process for addressing global issues. This research contributes a theoretical framework integrating expressive writing with algorithmic thinking in AI -assisted sustainability education, aligned with SDGs 4, 11, and 13.",RePEc/IDEAS,RePEc:gam:jsusta:v:17:y:2025:i:15:p:7020-:d:1716067
Writing Is Coding: When Writing Becomes the Starting Point for AI Cross-Media Learning and Narrative,Hao-Chiang Koong Lin,2025,,https://ideas.repec.org/a/igg/jopcd0/v15y2025i1p1-23.html,"This research examines the pedagogical implications of this “ Writing is Coding” framework, focusing on how learners navigate cross-media AI co-creation processes. Through a comprehensive three-round experiment, 102 undergraduate students engaged in progressive AI collaboration across textual, visual, and video modalities, using natural language as their primary creative instrument. Employing grounded theory methodology, the researchers analyzed data from student reflection journals, teacher observation logs, and semi-structured interviews to identify emergent patterns in AI - human creative partnerships. Five interconnected themes emerged: (1) prompt engineering as algorithmic thinking, (2) multimodal literacy development, (3) collaborative negotiation of creative agency, (4) emotional engagement through iterative refinement, and (5) metacognitive awareness of human - AI boundaries. ... The three-round progression demonstrated increasing student comfort with AI collaboration , though tensions around authorship and creative identity persisted.",RePEc/IDEAS,RePEc:igg:jopcd0:v:15:y:2025:i:1:p:1-23
A Longitudinal Mixed-Methods Study on the Complementary Roles of AI Tools and Teacher Expertise in L2 Writing Instruction,DoÄŸan Can AkÃ§in,2026,,https://ideas.repec.org/a/sae/sagope/v16y2026i2p21582440261445620.html,"Artificial intelligence ( AI ) tools are increasingly used in second language (L2) writing instruction, yet empirical research comparing their longitudinal effects against human feedback remains limited. This longitudinal, mixed-methods quasi-experimental study investigated the impact of AI -based feedback versus teacher-mediated feedback on the grammatical accuracy, syntactic complexity, and writing quality of 60 first-year English Language Teaching students. ... Results revealed a significant Groupâ€‰Ã—â€‰Time interaction favoring the AI - Feedback group for grammatical accuracy, which exhibited a significantly steeper rate of error reduction. Conversely, the Teacher- Feedback group demonstrated superior growth in discourse-level writing quality ( p â€‰=â€‰.036). ... Qualitative findings highlighted a critical tension: while AI tools significantly reduced writing anxiety and facilitated immediate iterative revision , participants expressed skepticism regarding the contextual reliability of automated suggestions, retaining a strong preference for human mediation to address higher-order concerns.",RePEc/IDEAS,RePEc:sae:sagope:v:16:y:2026:i:2:p:21582440261445620
"AI -Assisted Feedback , Learner Engagement, and ESL Writing Development among Malaysian University Students: A Conceptual Framework",Vishanthini A/P Manirajan,2026,,https://ideas.repec.org/a/bcp/journl/v10y2026i6p19420-19429.html,"The emergence of an increasing number of writing assistance tools using artificial intelligence ( AI ) has transformed feedback provision, text revision , and academic writing practice by university students. ... However, the pedagogical value of AI -assisted writing cannot be taken for granted based on the availability of the tool alone. ... Yet, there is less conceptual discussion that explains the development of writing skills through the mediation of learners' engagement and feedback interaction via AI -assisted writing . This conceptual paper aims to provide a theoretically informed conceptual framework that could facilitate the development of ESL writing skills via AI -assisted writing among Malaysian university students through Sociocultural Theory, Technology-Enhanced Language Learning (TELL) theory, learner engagement theory, and written corrective feedback literature. The framework argues that AI tools can contribute to ESL writing development only when students actively notice, evaluate and apply feedback in ways that promote self-regulation and writing autonomy.",RePEc/IDEAS,RePEc:bcp:journl:v:10:y:2026:i:6:p:19420-19429
