bib_key,expected_doi,expected_title,expected_year,identifier,canonical_doi,canonical_title,canonical_year,title_similarity,status,raw_response,raw_sha256,error,reused_from_evidence
chakrabarty2024salvage,,Can {AI} writing be salvaged? {M}itigating idiosyncrasies and improving human--{AI} alignment in the writing process through edits,2024,arXiv:2409.14509,,,,,identifier-only,,,,no
cheng2025humt,,{HumT DumT}: measuring and controlling human-like language in {LLMs},2025,arXiv:2502.13259,,,,,identifier-only,,,,no
jin2022style,10.1162/coli_a_00426,Deep learning for text style transfer: a survey,2022,,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1162%2Fcoli_a_00426 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))",no
zheng2023judging,,Judging {LLM}-as-a-judge with {MT}-{B}ench and {C}hatbot {A}rena,2023,arXiv:2306.05685,,,,,identifier-only,,,,no
panickssery2024llm,,{LLM} evaluators recognize and favor their own generations,2024,arXiv:2404.13076,,,,,identifier-only,,,,no
dubois2024length,,Length-controlled {AlpacaEval}: a simple way to debias automatic evaluators,2024,arXiv:2404.04475,,,,,identifier-only,,,,no
chakrabarty2024art,,Art or artifice? {L}arge language models and the false promise of creativity,2024,arXiv:2309.14556,,,,,identifier-only,,,,no
plavensigray2017readability,10.7554/eLife.27725,The readability of scientific texts is decreasing over time,2017,,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.7554%2FeLife.27725 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))",no
martinez2021terminology,10.1098/rspb.2020.2581,Specialized terminology reduces the number of citations of scientific papers,2021,,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1098%2Frspb.2020.2581 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))",no
crossley2022clear,10.3758/s13428-022-01802-x,A large-scaled corpus for assessing text readability,2022,,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.3758%2Fs13428-022-01802-x (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))",no
graesser2004cohmetrix,10.3758/BF03195564,Coh-{M}etrix: analysis of text on cohesion and language,2004,,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.3758%2FBF03195564 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))",no
biber1988variation,,Variation across Speech and Writing,1988,,,,,,not-applicable-no-doi,,,,no
korinek2023generative,10.1257/jel.20231736,Generative {AI} for economic research: use cases and implications for economists,2023,,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1257%2Fjel.20231736 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))",no
liang2024monitoring,,Monitoring {AI}-modified content at scale: a case study on the impact of {ChatGPT} on {AI} conference peer reviews,2024,arXiv:2403.07183,,,,,identifier-only,,,,no
liang2024mapping,,Mapping the increasing use of {LLMs} in scientific papers,2024,arXiv:2404.01268,,,,,identifier-only,,,,no
latona2024lottery,,The {AI} review lottery: widespread {AI}-assisted peer reviews boost paper scores and acceptance rates,2024,arXiv:2405.02150,,,,,identifier-only,,,,no
lin2025divergent,,Divergent {LLM} adoption and heterogeneous convergence paths in research writing,2025,arXiv:2504.13629,,,,,identifier-only,,,,no
glynn2024academai,,Academ-{AI}: documenting the undisclosed use of generative {AI} in academic publishing,2024,arXiv:2411.15218,,,,,identifier-only,,,,no
wikipedia2026signs,,Signs of {AI} writing,2026,,,,,,not-applicable-no-doi,,,,no
russell2026storyscope,,{StoryScope}: discourse-level detection of machine-generated narrative,2026,"arXiv:2604.03136, as summarized in the humanizer-stack repository; not independently inspected",,,,,identifier-only,,,,no
noy2023experimental,10.1126/science.adh2586,Experimental Evidence on the Productivity Effects of Generative Artificial Intelligence,2023,,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1126%2Fscience.adh2586 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))",no
nair2024closing,10.18653/v1/2024.emnlp-main.928,Closing the Loop: Learning to Generate Writing Feedback via Language Model Simulated Student Revisions,2024,,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.18653%2Fv1%2F2024.emnlp-main.928 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))",no
rashkin2025story,10.18653/v1/2025.acl-long.1254,Help Me Write a Story: Evaluating {LLM}s' Ability to Generate Writing Feedback,2025,,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.18653%2Fv1%2F2025.acl-long.1254 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))",no
li2024revisions,,Using Large Language Models to Assess Young Students' Writing Revisions,2024,,,,,,not-applicable-no-doi,,,,no
behzad2024feedback,,Assessing Online Writing Feedback Resources: Generative {AI} vs. Good Samaritans,2024,,,,,,not-applicable-no-doi,,,,no
li2024disclosure,10.18653/v1/2024.emnlp-main.279,How Does the Disclosure of {AI} Assistance Affect the Perceptions of Writing?,2024,,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.18653%2Fv1%2F2024.emnlp-main.279 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))",no
dillon2025shifting,10.3386/w33795,Shifting Work Patterns with Generative {AI},2025,,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.3386%2Fw33795 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))",no
dellacqua2026jagged,10.1287/orsc.2025.21838,Navigating the Jagged Technological Frontier: Field Experimental Evidence of the Effects of Artificial Intelligence on Knowledge Worker Productivity and Quality,2026,,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1287%2Forsc.2025.21838 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))",no
mugaanyi2024citation,10.2196/52935,Evaluation of Large Language Model Performance and Reliability for Citations and References in Scholarly Writing: Cross-Disciplinary Study,2024,,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.2196%2F52935 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))",no
rethlefsen2021prismas,10.1186/s13643-020-01542-z,{PRISMA-S}: An Extension to the {PRISMA} Statement for Reporting Literature Searches in Systematic Reviews,2021,,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1186%2Fs13643-020-01542-z (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))",no
nist2023airmf,,Artificial Intelligence Risk Management Framework ({AI RMF} 1.0),2023,,,,,,not-applicable-no-doi,,,,no
icmje2025ai,,Use of Artificial Intelligence in Scholarly Manuscripts,2025,,,,,,not-applicable-no-doi,,,,no
vale2026docs,,Vale: A Prose Linter,2026,,,,,,not-applicable-no-doi,,,,no
textlint2026docs,,textlint: Pluggable Natural-Language Linting,2026,,,,,,not-applicable-no-doi,,,,no
languagetool2026dev,,LanguageTool Developer Documentation,2026,,,,,,not-applicable-no-doi,,,,no
latexlint2026,,latexlint,2026,,,,,,not-applicable-no-doi,,,,no
meng2026systematic,10.1016/j.jeap.2026.101726,"A Systematic Review of {AI}-Assisted Academic Writing: Tools, Measures, and Effects",2026,,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1016%2Fj.jeap.2026.101726 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))",no
abudalfa2026awe,10.1016/j.asw.2026.101041,"Generative Artificial Intelligence for Automated Writing Evaluation: A Systematic Review of Trends, Efficacy, and Challenges",2026,,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1016%2Fj.asw.2026.101041 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))",no
mysore2025paths,10.18653/v1/2025.emnlp-main.852,Prototypical Human--{AI} Collaboration Behaviors from {LLM}-Assisted Writing in the Wild,2025,,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.18653%2Fv1%2F2025.emnlp-main.852 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))",no
brynjolfsson2025work,10.1093/qje/qjae044,Generative {AI} at Work,2025,,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1093%2Fqje%2Fqjae044 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))",no
fang2026mindcopilot,,{MindCopilot}: Towards Formalizing and Evaluating Granular Human--{LLM} Co-Writing,2026,,,,,,not-applicable-no-doi,,,,no
pandoc2026filters,,Pandoc Filters and Document Abstract Syntax Tree,2026,,,,,,not-applicable-no-doi,,,,no
pylatexenc2026,,pylatexenc Documentation,2026,,,,,,not-applicable-no-doi,,,,no
latexdiff2026,,latexdiff: Determine and Mark Up Significant Differences between LaTeX Files,2026,,,,,,not-applicable-no-doi,,,,no
grobid2026,,{GROBID} Documentation,2026,,,,,,not-applicable-no-doi,,,,no
textstat2026,,textstat,2026,,,,,,not-applicable-no-doi,,,,no
inspectai2026,,Inspect {AI},2026,,,,,,not-applicable-no-doi,,,,no
llamacpp2026,,llama.cpp,2026,,,,,,not-applicable-no-doi,,,,no
ltexplus2026,,{LTeX+} Language Server,2026,,,,,,not-applicable-no-doi,,,,no
plastex2026,,plasTeX: A Python Framework for Processing LaTeX Documents,2026,,,,,,not-applicable-no-doi,,,,no
treesitterlatex2026,,tree-sitter-latex,2026,,,,,,not-applicable-no-doi,,,,no
latexml2026,,LaTeXML Manual,2026,,,,,,not-applicable-no-doi,,,,no
flower1981cognitive,10.58680/ccc198115885,A Cognitive Process Theory of Writing,1981,,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.58680%2Fccc198115885 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))",no
bereiter1987psychology,,The Psychology of Written Composition,1987,,,,,,not-applicable-no-doi,,,,no
swales1990genre,,Genre Analysis: English in Academic and Research Settings,1990,,,,,,not-applicable-no-doi,,,,no
hyland2005metadiscourse,,Metadiscourse: Exploring Interaction in Writing,2005,,,,,,not-applicable-no-doi,,,,no
hattie2007feedback,10.3102/003465430298487,The Power of Feedback,2007,,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.3102%2F003465430298487 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))",no
nicol2006formative,10.1080/03075070600572090,Formative Assessment and Self-Regulated Learning: A Model and Seven Principles of Good Feedback Practice,2006,,,,,0.0,unresolved,,,"ConnectionError: HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1080%2F03075070600572090 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno -2] Name or service not known)""))",no
grammarly2026enterprise,,Grammarly for Enterprise,2026,,,,,,not-applicable-no-doi,,,,no
grammarly2026privacy,,Privacy and Security FAQs,2026,,,,,,not-applicable-no-doi,,,,no
overleaf2026trackchanges,,Track Changes in Overleaf,2026,,,,,,not-applicable-no-doi,,,,no
writefull2026overleaf,,Writefull for Overleaf,2026,,,,,,not-applicable-no-doi,,,,no
paperpal2026assistant,,AI Academic Writing Tool and Research Assistant,2026,,,,,,not-applicable-no-doi,,,,no
trinka2026privacy,,Trinka AI Help Center and Privacy Features,2026,,,,,,not-applicable-no-doi,,,,no
