name,category,ecosystem,url,repository,source,manifest_commit,local_path,local_present,local_commit,provenance_status,license_file,registry_version,registry_release,registry_license,registry_status,readme,test_file_count,languages,description,stars,updated_at
tree-sitter-latex,latex-parsing,multi-language,https://github.com/latex-lsp/tree-sitter-latex,https://github.com/latex-lsp/tree-sitter-latex,protocol-seed,,,False,,remote-only,,,,,,False,0,,,,
LTeX+ LS,latex-writing,java,https://ltex-plus.github.io/ltex-plus/,https://github.com/ltex-plus/ltex-ls-plus,protocol-seed,,,False,,remote-only,,,,,,False,0,,,,
Textidote,latex-writing,java,https://github.com/sylvainhalle/textidote,https://github.com/sylvainhalle/textidote,protocol-seed,,,False,,remote-only,,,,,,False,0,,,,
llama.cpp,local-private-inference,binary,https://github.com/ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,protocol-seed,,,False,,remote-only,,,,,,False,0,,,,
Vale,prose-linter,binary,https://docs.vale.sh/,https://github.com/errata-ai/vale,protocol-seed,,,False,,remote-only,,,,,,False,0,,,,
proselint,prose-linter,python,https://github.com/amperser/proselint,https://github.com/amperser/proselint,vendor-manifest,dbed789caae662d06c7c8a5a13dd31f1acd36f5c,vendor/proselint,True,,vendored-manifest-pin,LICENSE.md,,,,,True,25,".html:122, .js:117, .py:115, .md:32, .png:29",,,
textlint,prose-linter,npm,https://textlint.org/docs/,https://github.com/textlint/textlint,protocol-seed,,,False,,remote-only,,,,,,False,0,,,,
vale-ai-tells,prose-linter,,,https://github.com/tbhb/vale-ai-tells,vendor-manifest,d888d56edf8a9e9d25a662c35ea97eca4442b09d,vendor/vale-ai-tells,True,,vendored-manifest-pin,LICENSE,,,,,True,5,".yml:154, .sh:77, .md:54, .json:34, .toml:16",,,
write-good,prose-linter,npm,https://github.com/btford/write-good,https://github.com/btford/write-good,protocol-seed,,,False,,remote-only,,,,,,False,0,,,,
textstat,readability-cohesion,python,https://github.com/textstat/textstat,https://github.com/textstat/textstat,protocol-seed,,,False,,remote-only,,,,,,False,0,,,,
Inspect AI,reader-evaluation,python,https://inspect.aisi.org.uk/,https://github.com/UKGovernmentBEIS/inspect_ai,protocol-seed,,,False,,remote-only,,,,,,False,0,,,,
humanizer-stack,workflow-skills,,,https://github.com/NulightJens/humanizer-stack,vendor-manifest,13f5c023189d428ffba726c75886ca1fd0dcba65,vendor/humanizer-stack,True,,vendored-manifest-pin,LICENSE,,,,,True,0,".md:8, .py:2, .sh:1",,,
writing-agent,writing-agent,,,https://github.com/itallstartedwithaidea/writing-agent,vendor-manifest,ea0d2b1c15724cb699085d8248598028463a04a1,vendor/writing-agent,True,,vendored-manifest-pin,LICENSE,,,,,True,1,".md:22, .js:18, .json:2, .yaml:2, .yml:1",,,
